"PLZ";"Abholdatum"
8001;"Mo, 5. Januar 2015"
8001;"Mo, 19. Januar 2015"
8001;"Mo, 2. Februar 2015"
8001;"Mo, 16. Februar 2015"
8001;"Mo, 2. März 2015"
8001;"Mo, 16. März 2015"
8001;"Mo, 23. März 2015"
8001;"Mo, 30. März 2015"
8001;"Di, 7. April 2015"
8001;"Mo, 13. April 2015"
8001;"Mo, 20. April 2015"
8001;"Mo, 27. April 2015"
8001;"Mo, 4. Mai 2015"
8001;"Mo, 11. Mai 2015"
8001;"Mo, 18. Mai 2015"
8001;"Sa, 23. Mai 2015"
8001;"Mo, 1. Juni 2015"
8001;"Mo, 8. Juni 2015"
8001;"Mo, 15. Juni 2015"
8001;"Mo, 22. Juni 2015"
8001;"Mo, 29. Juni 2015"
8001;"Mo, 6. Juli 2015"
8001;"Mo, 13. Juli 2015"
8001;"Mo, 20. Juli 2015"
8001;"Mo, 27. Juli 2015"
8001;"Mo, 3. August 2015"
8001;"Mo, 10. August 2015"
8001;"Mo, 17. August 2015"
8001;"Mo, 24. August 2015"
8001;"Mo, 31. August 2015"
8001;"Mo, 7. September 2015"
8001;"Mo, 14. September 2015"
8001;"Mo, 21. September 2015"
8001;"Mo, 28. September 2015"
8001;"Mo, 5. Oktober 2015"
8001;"Mo, 12. Oktober 2015"
8001;"Mo, 19. Oktober 2015"
8001;"Mo, 26. Oktober 2015"
8001;"Mo, 2. November 2015"
8001;"Mo, 9. November 2015"
8001;"Mo, 16. November 2015"
8001;"Mo, 23. November 2015"
8001;"Mo, 30. November 2015"
8001;"Mo, 7. Dezember 2015"
8001;"Mo, 21. Dezember 2015"
8002;"Mi, 7. Januar 2015"
8002;"Mi, 21. Januar 2015"
8002;"Mi, 4. Februar 2015"
8002;"Mi, 18. Februar 2015"
8002;"Mi, 4. März 2015"
8002;"Mi, 18. März 2015"
8002;"Mi, 25. März 2015"
8002;"Mi, 1. April 2015"
8002;"Mi, 8. April 2015"
8002;"Mi, 15. April 2015"
8002;"Mi, 22. April 2015"
8002;"Mi, 29. April 2015"
8002;"Mi, 6. Mai 2015"
8002;"Mi, 13. Mai 2015"
8002;"Mi, 20. Mai 2015"
8002;"Mi, 27. Mai 2015"
8002;"Mi, 3. Juni 2015"
8002;"Mi, 10. Juni 2015"
8002;"Mi, 17. Juni 2015"
8002;"Mi, 24. Juni 2015"
8002;"Mi, 1. Juli 2015"
8002;"Mi, 8. Juli 2015"
8002;"Mi, 15. Juli 2015"
8002;"Mi, 22. Juli 2015"
8002;"Mi, 29. Juli 2015"
8002;"Mi, 5. August 2015"
8002;"Mi, 12. August 2015"
8002;"Mi, 19. August 2015"
8002;"Mi, 26. August 2015"
8002;"Mi, 2. September 2015"
8002;"Mi, 9. September 2015"
8002;"Mi, 16. September 2015"
8002;"Mi, 23. September 2015"
8002;"Mi, 30. September 2015"
8002;"Mi, 7. Oktober 2015"
8002;"Mi, 14. Oktober 2015"
8002;"Mi, 21. Oktober 2015"
8002;"Mi, 28. Oktober 2015"
8002;"Mi, 4. November 2015"
8002;"Mi, 11. November 2015"
8002;"Mi, 18. November 2015"
8002;"Mi, 25. November 2015"
8002;"Mi, 2. Dezember 2015"
8002;"Mi, 9. Dezember 2015"
8002;"Mi, 23. Dezember 2015"
8003;"Mi, 7. Januar 2015"
8003;"Mi, 21. Januar 2015"
8003;"Mi, 4. Februar 2015"
8003;"Mi, 18. Februar 2015"
8003;"Mi, 4. März 2015"
8003;"Mi, 18. März 2015"
8003;"Mi, 25. März 2015"
8003;"Mi, 1. April 2015"
8003;"Mi, 8. April 2015"
8003;"Mi, 15. April 2015"
8003;"Mi, 22. April 2015"
8003;"Mi, 29. April 2015"
8003;"Mi, 6. Mai 2015"
8003;"Mi, 13. Mai 2015"
8003;"Mi, 20. Mai 2015"
8003;"Mi, 27. Mai 2015"
8003;"Mi, 3. Juni 2015"
8003;"Mi, 10. Juni 2015"
8003;"Mi, 17. Juni 2015"
8003;"Mi, 24. Juni 2015"
8003;"Mi, 1. Juli 2015"
8003;"Mi, 8. Juli 2015"
8003;"Mi, 15. Juli 2015"
8003;"Mi, 22. Juli 2015"
8003;"Mi, 29. Juli 2015"
8003;"Mi, 5. August 2015"
8003;"Mi, 12. August 2015"
8003;"Mi, 19. August 2015"
8003;"Mi, 26. August 2015"
8003;"Mi, 2. September 2015"
8003;"Mi, 9. September 2015"
8003;"Mi, 16. September 2015"
8003;"Mi, 23. September 2015"
8003;"Mi, 30. September 2015"
8003;"Mi, 7. Oktober 2015"
8003;"Mi, 14. Oktober 2015"
8003;"Mi, 21. Oktober 2015"
8003;"Mi, 28. Oktober 2015"
