"PLZ","Abholdatum"
8001,"2020-01-06"
8001,"2020-01-20"
8001,"2020-02-03"
8001,"2020-02-17"
8001,"2020-03-02"
8001,"2020-03-09"
8001,"2020-03-16"
8001,"2020-03-23"
8001,"2020-03-30"
8001,"2020-04-06"
8001,"2020-04-14"
8001,"2020-04-20"
8001,"2020-04-27"
8001,"2020-05-04"
8001,"2020-05-11"
8001,"2020-05-18"
8001,"2020-05-25"
8001,"2020-05-30"
8001,"2020-06-08"
8001,"2020-06-15"
8001,"2020-06-22"
8001,"2020-06-29"
8001,"2020-07-06"
8001,"2020-07-13"
8001,"2020-07-20"
8001,"2020-07-27"
8001,"2020-08-03"
8001,"2020-08-10"
8001,"2020-08-17"
8001,"2020-08-24"
8001,"2020-08-31"
8001,"2020-09-07"
8001,"2020-09-14"
8001,"2020-09-21"
8001,"2020-09-28"
8001,"2020-10-05"
8001,"2020-10-12"
8001,"2020-10-19"
8001,"2020-10-26"
8001,"2020-11-02"
8001,"2020-11-09"
8001,"2020-11-16"
8001,"2020-11-23"
8001,"2020-11-30"
8001,"2020-12-14"
8001,"2020-12-28"
8002,"2020-01-08"
8002,"2020-01-22"
8002,"2020-02-05"
8002,"2020-02-19"
8002,"2020-03-04"
8002,"2020-03-11"
8002,"2020-03-18"
8002,"2020-03-25"
8002,"2020-04-01"
8002,"2020-04-08"
8002,"2020-04-15"
8002,"2020-04-22"
8002,"2020-04-29"
8002,"2020-05-06"
8002,"2020-05-13"
8002,"2020-05-20"
8002,"2020-05-27"
8002,"2020-06-03"
8002,"2020-06-10"
8002,"2020-06-17"
8002,"2020-06-24"
8002,"2020-07-01"
8002,"2020-07-08"
8002,"2020-07-15"
8002,"2020-07-22"
8002,"2020-07-29"
8002,"2020-08-05"
8002,"2020-08-12"
8002,"2020-08-19"
8002,"2020-08-26"
8002,"2020-09-02"
8002,"2020-09-09"
8002,"2020-09-16"
8002,"2020-09-23"
8002,"2020-09-30"
8002,"2020-10-07"
8002,"2020-10-14"
8002,"2020-10-21"
8002,"2020-10-28"
8002,"2020-11-04"
8002,"2020-11-11"
8002,"2020-11-18"
8002,"2020-11-25"
8002,"2020-12-02"
8002,"2020-12-16"
8002,"2020-12-30"
8003,"2020-01-08"
8003,"2020-01-22"
8003,"2020-02-05"
8003,"2020-02-19"
8003,"2020-03-04"
8003,"2020-03-11"
8003,"2020-03-18"
8003,"2020-03-25"
8003,"2020-04-01"
8003,"2020-04-08"
8003,"2020-04-15"
8003,"2020-04-22"
8003,"2020-04-29"
8003,"2020-05-06"
8003,"2020-05-13"
8003,"2020-05-20"
8003,"2020-05-27"
8003,"2020-06-03"
8003,"2020-06-10"
8003,"2020-06-17"
8003,"2020-06-24"
8003,"2020-07-01"
8003,"2020-07-08"
8003,"2020-07-15"
8003,"2020-07-22"
8003,"2020-07-29"
8003,"2020-08-05"
8003,"2020-08-12"
8003,"2020-08-19"
8003,"2020-08-26"
8003,"2020-09-02"
8003,"2020-09-09"
8003,"2020-09-16"
8003,"2020-09-23"
8003,"2020-09-30"
8003,"2020-10-07"
8003,"2020-10-14"
8003,"2020-10-21"
8003,"2020-10-28"
8003,"2020-11-04"
8003,"2020-11-11"
8003,"2020-11-18"
8003,"2020-11-25"
8003,"2020-12-02"
8003,"2020-12-16"
8003,"2020-12-30"
8004,"2020-01-06"
8004,"2020-01-20"
8004,"2020-02-03"
8004,"2020-02-17"
8004,"2020-03-02"
8004,"2020-03-09"
8004,"2020-03-16"
8004,"2020-03-23"
8004,"2020-03-30"
8004,"2020-04-06"
8004,"2020-04-11"
8004,"2020-04-20"
8004,"2020-04-27"
8004,"2020-05-04"
8004,"2020-05-11"
8004,"2020-05-18"
8004,"2020-05-25"
8004,"2020-05-30"
8004,"2020-06-08"
8004,"2020-06-15"
8004,"2020-06-22"
8004,"2020-06-29"
8004,"2020-07-06"
8004,"2020-07-13"
8004,"2020-07-20"
8004,"2020-07-27"
8004,"2020-08-03"
8004,"2020-08-10"
8004,"2020-08-17"
8004,"2020-08-24"
8004,"2020-08-31"
8004,"2020-09-07"
8004,"2020-09-14"
8004,"2020-09-21"
8004,"2020-09-28"
8004,"2020-10-05"
8004,"2020-10-12"
8004,"2020-10-19"
8004,"2020-10-26"
8004,"2020-11-02"
8004,"2020-11-09"
8004,"2020-11-16"
8004,"2020-11-23"
8004,"2020-11-30"
