"PLZ";"Station";"Abholdatum"
8001;"Burgwies";"Di, 27. Januar 2015"
8001;"Burgwies";"Di, 24. Februar 2015"
8001;"Burgwies";"Di, 24. März 2015"
8001;"Burgwies";"Di, 21. April 2015"
8001;"Burgwies";"Di, 19. Mai 2015"
8001;"Burgwies";"Di, 16. Juni 2015"
8001;"Burgwies";"Di, 8. September 2015"
8001;"Burgwies";"Di, 6. Oktober 2015"
8001;"Burgwies";"Di, 3. November 2015"
8001;"Burgwies";"Di, 1. Dezember 2015"
8001;"Tramdepot Hard";"Sa, 24. Januar 2015"
8001;"Tramdepot Hard";"Sa, 21. Februar 2015"
8001;"Tramdepot Hard";"Sa, 21. März 2015"
8001;"Tramdepot Hard";"Sa, 18. April 2015"
8001;"Tramdepot Hard";"Sa, 16. Mai 2015"
8001;"Tramdepot Hard";"Sa, 13. Juni 2015"
8001;"Tramdepot Hard";"Sa, 11. Juli 2015"
8001;"Tramdepot Hard";"Sa, 5. September 2015"
8001;"Tramdepot Hard";"Sa, 3. Oktober 2015"
8001;"Tramdepot Hard";"Sa, 31. Oktober 2015"
8001;"Tramdepot Hard";"Sa, 28. November 2015"
8001;"Tramdepot Universität Irchel";"Do, 29. Januar 2015"
8001;"Tramdepot Universität Irchel";"Do, 26. Februar 2015"
8001;"Tramdepot Universität Irchel";"Do, 26. März 2015"
8001;"Tramdepot Universität Irchel";"Do, 23. April 2015"
8001;"Tramdepot Universität Irchel";"Do, 21. Mai 2015"
8001;"Tramdepot Universität Irchel";"Do, 18. Juni 2015"
8001;"Tramdepot Universität Irchel";"Do, 10. September 2015"
8001;"Tramdepot Universität Irchel";"Do, 8. Oktober 2015"
8001;"Tramdepot Universität Irchel";"Do, 5. November 2015"
8001;"Tramdepot Universität Irchel";"Do, 3. Dezember 2015"
8002;"Strassenverkehrsamt";"Fr, 16. Januar 2015"
8002;"Strassenverkehrsamt";"Fr, 13. Februar 2015"
8002;"Strassenverkehrsamt";"Fr, 13. März 2015"
8002;"Strassenverkehrsamt";"Fr, 3. April 2015"
8002;"Strassenverkehrsamt";"Fr, 8. Mai 2015"
8002;"Strassenverkehrsamt";"Fr, 5. Juni 2015"
8002;"Strassenverkehrsamt";"Fr, 3. Juli 2015"
8002;"Strassenverkehrsamt";"Fr, 28. August 2015"
8002;"Strassenverkehrsamt";"Fr, 25. September 2015"
8002;"Strassenverkehrsamt";"Fr, 23. Oktober 2015"
8002;"Strassenverkehrsamt";"Fr, 20. November 2015"
8002;"Strassenverkehrsamt";"Fr, 18. Dezember 2015"
8002;"Wollishofen";"Mo, 12. Januar 2015"
8002;"Wollishofen";"Mo, 9. Februar 2015"
8002;"Wollishofen";"Mo, 9. März 2015"
8002;"Wollishofen";"Mo, 4. Mai 2015"
8002;"Wollishofen";"Mo, 1. Juni 2015"
8002;"Wollishofen";"Mo, 29. Juni 2015"
8002;"Wollishofen";"Mo, 24. August 2015"
8002;"Wollishofen";"Mo, 21. September 2015"
8002;"Wollishofen";"Mo, 19. Oktober 2015"
8002;"Wollishofen";"Mo, 16. November 2015"
8002;"Wollishofen";"Mo, 14. Dezember 2015"
8003;"Letzigrund";"Di, 20. Januar 2015"
8003;"Letzigrund";"Di, 17. Februar 2015"
8003;"Letzigrund";"Di, 17. März 2015"
8003;"Letzigrund";"Di, 14. April 2015"
8003;"Letzigrund";"Di, 12. Mai 2015"
8003;"Letzigrund";"Di, 9. Juni 2015"
8003;"Letzigrund";"Di, 7. Juli 2015"
8003;"Letzigrund";"Di, 1. September 2015"
8003;"Letzigrund";"Di, 29. September 2015"
8003;"Letzigrund";"Di, 27. Oktober 2015"
8003;"Letzigrund";"Di, 24. November 2015"
8003;"Letzigrund";"Di, 22. Dezember 2015"
8003;"Strassenverkehrsamt";"Fr, 16. Januar 2015"
8003;"Strassenverkehrsamt";"Fr, 13. Februar 2015"
8003;"Strassenverkehrsamt";"Fr, 13. März 2015"
8003;"Strassenverkehrsamt";"Fr, 10. April 2015"
8003;"Strassenverkehrsamt";"Fr, 8. Mai 2015"
8003;"Strassenverkehrsamt";"Fr, 5. Juni 2015"
8003;"Strassenverkehrsamt";"Fr, 3. Juli 2015"
8003;"Strassenverkehrsamt";"Fr, 28. August 2015"
8003;"Strassenverkehrsamt";"Fr, 25. September 2015"
8003;"Strassenverkehrsamt";"Fr, 23. Oktober 2015"
8003;"Strassenverkehrsamt";"Fr, 20. November 2015"
8003;"Strassenverkehrsamt";"Fr, 18. Dezember 2015"
8004;"Letzigrund";"Di, 20. Januar 2015"
8004;"Letzigrund";"Di, 17. Februar 2015"
8004;"Letzigrund";"Di, 17. März 2015"
8004;"Letzigrund";"Di, 14. April 2015"
8004;"Letzigrund";"Di, 12. Mai 2015"
8004;"Letzigrund";"Di, 9. Juni 2015"
