"PLZ","Abholdatum"
8001,"Di, 5. Januar 2016"
8001,"Fr, 8. Januar 2016"
8001,"Di, 12. Januar 2016"
8001,"Fr, 15. Januar 2016"
8001,"Di, 19. Januar 2016"
8001,"Fr, 22. Januar 2016"
8001,"Di, 26. Januar 2016"
8001,"Fr, 29. Januar 2016"
8001,"Di, 2. Februar 2016"
8001,"Fr, 5. Februar 2016"
8001,"Di, 9. Februar 2016"
8001,"Fr, 12. Februar 2016"
8001,"Di, 16. Februar 2016"
8001,"Fr, 19. Februar 2016"
8001,"Di, 23. Februar 2016"
8001,"Fr, 26. Februar 2016"
8001,"Di, 1. März 2016"
8001,"Fr, 4. März 2016"
8001,"Di, 8. März 2016"
8001,"Fr, 11. März 2016"
8001,"Di, 15. März 2016"
8001,"Fr, 18. März 2016"
8001,"Di, 22. März 2016"
8001,"Di, 29. März 2016"
8001,"Fr, 1. April 2016"
8001,"Di, 5. April 2016"
8001,"Fr, 8. April 2016"
8001,"Di, 12. April 2016"
8001,"Fr, 15. April 2016"
8001,"Di, 19. April 2016"
8001,"Fr, 22. April 2016"
8001,"Di, 26. April 2016"
8001,"Fr, 29. April 2016"
8001,"Di, 3. Mai 2016"
8001,"Fr, 6. Mai 2016"
8001,"Di, 10. Mai 2016"
8001,"Fr, 13. Mai 2016"
8001,"Di, 17. Mai 2016"
8001,"Fr, 20. Mai 2016"
8001,"Di, 24. Mai 2016"
8001,"Fr, 27. Mai 2016"
8001,"Di, 31. Mai 2016"
8001,"Fr, 3. Juni 2016"
8001,"Di, 7. Juni 2016"
8001,"Fr, 10. Juni 2016"
8001,"Di, 14. Juni 2016"
8001,"Fr, 17. Juni 2016"
8001,"Di, 21. Juni 2016"
8001,"Fr, 24. Juni 2016"
8001,"Di, 28. Juni 2016"
8001,"Fr, 1. Juli 2016"
8001,"Di, 5. Juli 2016"
8001,"Fr, 8. Juli 2016"
8001,"Di, 12. Juli 2016"
8001,"Fr, 15. Juli 2016"
8001,"Di, 19. Juli 2016"
8001,"Fr, 22. Juli 2016"
8001,"Di, 26. Juli 2016"
8001,"Fr, 29. Juli 2016"
8001,"Di, 2. August 2016"
8001,"Fr, 5. August 2016"
8001,"Di, 9. August 2016"
8001,"Fr, 12. August 2016"
8001,"Di, 16. August 2016"
8001,"Fr, 19. August 2016"
8001,"Di, 23. August 2016"
8001,"Fr, 26. August 2016"
8001,"Di, 30. August 2016"
8001,"Fr, 2. September 2016"
8001,"Di, 6. September 2016"
8001,"Fr, 9. September 2016"
8001,"Di, 13. September 2016"
8001,"Fr, 16. September 2016"
8001,"Di, 20. September 2016"
8001,"Fr, 23. September 2016"
8001,"Di, 27. September 2016"
8001,"Fr, 30. September 2016"
8001,"Di, 4. Oktober 2016"
8001,"Fr, 7. Oktober 2016"
8001,"Di, 11. Oktober 2016"
8001,"Fr, 14. Oktober 2016"
8001,"Di, 18. Oktober 2016"
8001,"Fr, 21. Oktober 2016"
8001,"Di, 25. Oktober 2016"
8001,"Fr, 28. Oktober 2016"
8001,"Di, 1. November 2016"
8001,"Fr, 4. November 2016"
8001,"Di, 8. November 2016"
8001,"Fr, 11. November 2016"
8001,"Di, 15. November 2016"
8001,"Fr, 18. November 2016"
8001,"Di, 22. November 2016"
8001,"Fr, 25. November 2016"
8001,"Di, 29. November 2016"
8001,"Fr, 2. Dezember 2016"
8001,"Di, 6. Dezember 2016"
8001,"Fr, 9. Dezember 2016"
8001,"Di, 13. Dezember 2016"
8001,"Fr, 16. Dezember 2016"
8001,"Di, 20. Dezember 2016"
8001,"Fr, 23. Dezember 2016"
8001,"Di, 27. Dezember 2016"
8001,"Fr, 30. Dezember 2016"
8002,"Mo, 4. Januar 2016"
8002,"Mo, 11. Januar 2016"
8002,"Mo, 18. Januar 2016"
8002,"Mo, 25. Januar 2016"
8002,"Mo, 1. Februar 2016"
8002,"Mo, 8. Februar 2016"
8002,"Mo, 15. Februar 2016"
8002,"Mo, 22. Februar 2016"
8002,"Mo, 29. Februar 2016"
8002,"Mo, 7. März 2016"
8002,"Mo, 14. März 2016"
8002,"Mo, 21. März 2016"
8002,"Sa, 26. März 2016"
8002,"Mo, 4. April 2016"
8002,"Mo, 11. April 2016"
8002,"Mo, 18. April 2016"
8002,"Mo, 25. April 2016"
8002,"Mo, 2. Mai 2016"
8002,"Mo, 9. Mai 2016"
8002,"Sa, 14. Mai 2016"
8002,"Mo, 23. Mai 2016"
8002,"Mo, 30. Mai 2016"
8002,"Mo, 6. Juni 2016"
8002,"Mo, 13. Juni 2016"
8002,"Mo, 20. Juni 2016"
8002,"Mo, 27. Juni 2016"
8002,"Mo, 4. Juli 2016"
8002,"Mo, 11. Juli 2016"
8002,"Mo, 18. Juli 2016"
8002,"Mo, 25. Juli 2016"
8002,"Sa, 30. Juli 2016"
8002,"Mo, 8. August 2016"
8002,"Mo, 15. August 2016"
8002,"Mo, 22. August 2016"
8002,"Mo, 29. August 2016"
8002,"Mo, 5. September 2016"
8002,"Mo, 12. September 2016"
8002,"Mo, 19. September 2016"
8002,"Mo, 26. September 2016"
8002,"Mo, 3. Oktober 2016"
8002,"Mo, 10. Oktober 2016"
8002,"Mo, 17. Oktober 2016"
8002,"Mo, 24. Oktober 2016"
8002,"Mo, 31. Oktober 2016"
8002,"Mo, 7. November 2016"
8002,"Mo, 14. November 2016"
8002,"Mo, 21. November 2016"
8002,"Mo, 28. November 2016"
8002,"Mo, 5. Dezember 2016"
8002,"Mo, 12. Dezember 2016"
8002,"Mo, 19. Dezember 2016"
8002,"Sa, 24. Dezember 2016"
8003,"Mo, 4. Januar 2016"
8003,"Mo, 11. Januar 2016"
8003,"Mo, 18. Januar 2016"
8003,"Mo, 25. Januar 2016"
8003,"Mo, 1. Februar 2016"
8003,"Mo, 8. Februar 2016"
8003,"Mo, 15. Februar 2016"
8003,"Mo, 22. Februar 2016"
8003,"Mo, 29. Februar 2016"
8003,"Mo, 7. März 2016"
8003,"Mo, 14. März 2016"
8003,"Mo, 21. März 2016"
8003,"Sa, 26. März 2016"
8003,"Mo, 4. April 2016"
8003,"Mo, 11. April 2016"
8003,"Mo, 18. April 2016"
8003,"Mo, 25. April 2016"
8003,"Mo, 2. Mai 2016"
8003,"Mo, 9. Mai 2016"
8003,"Sa, 14. Mai 2016"
8003,"Mo, 23. Mai 2016"
8003,"Mo, 30. Mai 2016"
8003,"Mo, 6. Juni 2016"
8003,"Mo, 13. Juni 2016"
8003,"Mo, 20. Juni 2016"
8003,"Mo, 27. Juni 2016"
8003,"Mo, 4. Juli 2016"
