"PLZ";"Abholdatum"
8001;"Do, 16. Januar 2014"
8001;"Do, 30. Januar 2014"
8001;"Do, 13. Februar 2014"
8001;"Do, 27. Februar 2014"
8001;"Do, 13. März 2014"
8001;"Do, 27. März 2014"
8001;"Do, 10. April 2014"
8001;"Do, 24. April 2014"
8001;"Do, 8. Mai 2014"
8001;"Do, 22. Mai 2014"
8001;"Do, 5. Juni 2014"
8001;"Do, 19. Juni 2014"
8001;"Do, 3. Juli 2014"
8001;"Do, 17. Juli 2014"
8001;"Do, 31. Juli 2014"
8001;"Do, 14. August 2014"
8001;"Do, 28. August 2014"
8001;"Do, 11. September 2014"
8001;"Do, 25. September 2014"
8001;"Do, 9. Oktober 2014"
8001;"Do, 23. Oktober 2014"
8001;"Do, 6. November 2014"
8001;"Do, 20. November 2014"
8001;"Do, 4. Dezember 2014"
8001;"Do, 18. Dezember 2014"
8002;"Fr, 10. Januar 2014"
8002;"Fr, 24. Januar 2014"
8002;"Fr, 7. Februar 2014"
8002;"Fr, 21. Februar 2014"
8002;"Fr, 7. März 2014"
8002;"Fr, 21. März 2014"
8002;"Fr, 4. April 2014"
8002;"Fr, 2. Mai 2014"
8002;"Fr, 16. Mai 2014"
8002;"Fr, 30. Mai 2014"
8002;"Fr, 13. Juni 2014"
8002;"Fr, 27. Juni 2014"
8002;"Fr, 11. Juli 2014"
8002;"Fr, 25. Juli 2014"
8002;"Fr, 8. August 2014"
8002;"Fr, 22. August 2014"
8002;"Fr, 5. September 2014"
8002;"Fr, 19. September 2014"
8002;"Fr, 3. Oktober 2014"
8002;"Fr, 17. Oktober 2014"
8002;"Fr, 31. Oktober 2014"
8002;"Fr, 14. November 2014"
8002;"Fr, 28. November 2014"
8002;"Fr, 12. Dezember 2014"
8003;"Do, 9. Januar 2014"
8003;"Do, 23. Januar 2014"
8003;"Do, 6. Februar 2014"
8003;"Do, 20. Februar 2014"
8003;"Do, 6. März 2014"
8003;"Do, 20. März 2014"
8003;"Do, 3. April 2014"
8003;"Do, 17. April 2014"
8003;"Do, 15. Mai 2014"
8003;"Do, 12. Juni 2014"
8003;"Do, 26. Juni 2014"
8003;"Do, 10. Juli 2014"
8003;"Do, 24. Juli 2014"
8003;"Do, 7. August 2014"
8003;"Do, 21. August 2014"
8003;"Do, 4. September 2014"
8003;"Do, 18. September 2014"
8003;"Do, 2. Oktober 2014"
8003;"Do, 16. Oktober 2014"
8003;"Do, 30. Oktober 2014"
8003;"Do, 13. November 2014"
8003;"Do, 27. November 2014"
8003;"Do, 11. Dezember 2014"
8004;"Fr, 3. Januar 2014"
8004;"Fr, 17. Januar 2014"
8004;"Fr, 31. Januar 2014"
8004;"Fr, 14. Februar 2014"
8004;"Fr, 28. Februar 2014"
8004;"Fr, 14. März 2014"
8004;"Fr, 28. März 2014"
8004;"Fr, 11. April 2014"
8004;"Fr, 25. April 2014"
8004;"Fr, 9. Mai 2014"
8004;"Fr, 23. Mai 2014"
8004;"Fr, 6. Juni 2014"
8004;"Fr, 20. Juni 2014"
8004;"Fr, 4. Juli 2014"
8004;"Fr, 18. Juli 2014"
8004;"Fr, 15. August 2014"
8004;"Fr, 29. August 2014"
8004;"Fr, 12. September 2014"
8004;"Fr, 26. September 2014"
8004;"Fr, 10. Oktober 2014"
8004;"Fr, 24. Oktober 2014"
8004;"Fr, 7. November 2014"
8004;"Fr, 21. November 2014"
8004;"Fr, 5. Dezember 2014"
8004;"Fr, 19. Dezember 2014"
8005;"Fr, 3. Januar 2014"
8005;"Fr, 17. Januar 2014"
8005;"Fr, 31. Januar 2014"
8005;"Fr, 14. Februar 2014"
8005;"Fr, 28. Februar 2014"
8005;"Fr, 14. März 2014"
8005;"Fr, 28. März 2014"
8005;"Fr, 11. April 2014"
8005;"Fr, 25. April 2014"
8005;"Fr, 9. Mai 2014"
8005;"Fr, 23. Mai 2014"
8005;"Fr, 6. Juni 2014"
8005;"Fr, 20. Juni 2014"
8005;"Fr, 4. Juli 2014"
8005;"Fr, 18. Juli 2014"
8005;"Fr, 15. August 2014"
8005;"Fr, 29. August 2014"
8005;"Fr, 12. September 2014"
8005;"Fr, 26. September 2014"
8005;"Fr, 10. Oktober 2014"
8005;"Fr, 24. Oktober 2014"
8005;"Fr, 7. November 2014"
8005;"Fr, 21. November 2014"
8005;"Fr, 5. Dezember 2014"
8005;"Fr, 19. Dezember 2014"
8006;"Di, 14. Januar 2014"
8006;"Di, 28. Januar 2014"
8006;"Di, 11. Februar 2014"
8006;"Di, 25. Februar 2014"
8006;"Di, 11. März 2014"
8006;"Di, 25. März 2014"
8006;"Di, 8. April 2014"
8006;"Di, 22. April 2014"
8006;"Di, 6. Mai 2014"
8006;"Di, 20. Mai 2014"
8006;"Di, 3. Juni 2014"
8006;"Di, 17. Juni 2014"
8006;"Di, 1. Juli 2014"
8006;"Di, 15. Juli 2014"
8006;"Di, 29. Juli 2014"
8006;"Di, 12. August 2014"
8006;"Di, 26. August 2014"
8006;"Di, 9. September 2014"
8006;"Di, 23. September 2014"
8006;"Di, 7. Oktober 2014"
8006;"Di, 21. Oktober 2014"
8006;"Di, 4. November 2014"
8006;"Di, 18. November 2014"
8006;"Di, 2. Dezember 2014"
8006;"Di, 16. Dezember 2014"
8006;"Di, 30. Dezember 2014"
8008;"Do, 16. Januar 2014"
8008;"Do, 30. Januar 2014"
8008;"Do, 13. Februar 2014"
8008;"Do, 27. Februar 2014"
8008;"Do, 13. März 2014"
8008;"Do, 27. März 2014"
8008;"Do, 10. April 2014"
8008;"Do, 24. April 2014"
8008;"Do, 8. Mai 2014"
8008;"Do, 22. Mai 2014"
8008;"Do, 5. Juni 2014"
8008;"Do, 19. Juni 2014"
8008;"Do, 3. Juli 2014"
8008;"Do, 17. Juli 2014"
8008;"Do, 31. Juli 2014"
8008;"Do, 14. August 2014"
8008;"Do, 28. August 2014"
8008;"Do, 11. September 2014"
8008;"Do, 25. September 2014"
8008;"Do, 9. Oktober 2014"
8008;"Do, 23. Oktober 2014"
8008;"Do, 6. November 2014"
8008;"Do, 20. November 2014"
8008;"Do, 4. Dezember 2014"
8008;"Do, 18. Dezember 2014"
8032;"Mi, 15. Januar 2014"
8032;"Mi, 29. Januar 2014"
8032;"Mi, 12. Februar 2014"
8032;"Mi, 26. Februar 2014"
8032;"Mi, 12. März 2014"
8032;"Mi, 26. März 2014"
8032;"Mi, 9. April 2014"
8032;"Mi, 23. April 2014"
8032;"Mi, 7. Mai 2014"
8032;"Mi, 21. Mai 2014"
8032;"Mi, 4. Juni 2014"
8032;"Mi, 18. Juni 2014"
8032;"Mi, 2. Juli 2014"
8032;"Mi, 16. Juli 2014"
8032;"Mi, 30. Juli 2014"
8032;"Mi, 13. August 2014"
8032;"Mi, 27. August 2014"
8032;"Mi, 10. September 2014"
8032;"Mi, 24. September 2014"
8032;"Mi, 8. Oktober 2014"
8032;"Mi, 22. Oktober 2014"
8032;"Mi, 5. November 2014"
8032;"Mi, 19. November 2014"
8032;"Mi, 3. Dezember 2014"
8032;"Mi, 17. Dezember 2014"
8032;"Mi, 31. Dezember 2014"
8037;"Mo, 6. Januar 2014"
8037;"Mo, 20. Januar 2014"
8037;"Mo, 3. Februar 2014"
8037;"Mo, 17. Februar 2014"
8037;"Mo, 3. März 2014"
8037;"Mo, 17. März 2014"
8037;"Mo, 31. März 2014"
8037;"Mo, 14. April 2014"
8037;"Mo, 28. April 2014"
8037;"Mo, 12. Mai 2014"
8037;"Mo, 26. Mai 2014"
8037;"Mo, 23. Juni 2014"
8037;"Mo, 7. Juli 2014"
8037;"Mo, 21. Juli 2014"
8037;"Mo, 4. August 2014"
8037;"Mo, 18. August 2014"
8037;"Mo, 1. September 2014"
8037;"Mo, 15. September 2014"
8037;"Mo, 29. September 2014"
8037;"Mo, 13. Oktober 2014"
8037;"Mo, 27. Oktober 2014"
8037;"Mo, 10. November 2014"
8037;"Mo, 24. November 2014"
8037;"Mo, 8. Dezember 2014"
8037;"Mo, 22. Dezember 2014"
8038;"Fr, 10. Januar 2014"
8038;"Fr, 24. Januar 2014"
8038;"Fr, 7. Februar 2014"
8038;"Fr, 21. Februar 2014"
8038;"Fr, 7. März 2014"
8038;"Fr, 21. März 2014"
8038;"Fr, 4. April 2014"
8038;"Fr, 2. Mai 2014"
8038;"Fr, 16. Mai 2014"
8038;"Fr, 30. Mai 2014"
8038;"Fr, 13. Juni 2014"
8038;"Fr, 27. Juni 2014"
8038;"Fr, 11. Juli 2014"
8038;"Fr, 25. Juli 2014"
8038;"Fr, 8. August 2014"
8038;"Fr, 22. August 2014"
8038;"Fr, 5. September 2014"
8038;"Fr, 19. September 2014"
8038;"Fr, 3. Oktober 2014"
8038;"Fr, 17. Oktober 2014"
8038;"Fr, 31. Oktober 2014"
8038;"Fr, 14. November 2014"
8038;"Fr, 28. November 2014"
8038;"Fr, 12. Dezember 2014"
8041;"Do, 16. Januar 2014"
8041;"Do, 30. Januar 2014"
8041;"Do, 13. Februar 2014"
8041;"Do, 27. Februar 2014"
8041;"Do, 13. März 2014"
8041;"Do, 27. März 2014"
8041;"Do, 10. April 2014"
8041;"Do, 24. April 2014"
8041;"Do, 8. Mai 2014"
8041;"Do, 22. Mai 2014"
8041;"Do, 5. Juni 2014"
8041;"Do, 19. Juni 2014"
8041;"Do, 3. Juli 2014"
8041;"Do, 17. Juli 2014"
8041;"Do, 31. Juli 2014"
8041;"Do, 14. August 2014"
8041;"Do, 28. August 2014"
8041;"Do, 11. September 2014"
8041;"Do, 25. September 2014"
8041;"Do, 9. Oktober 2014"
