"PLZ","Abholdatum"
8001,"2017-01-12"
8001,"2017-01-26"
8001,"2017-02-09"
8001,"2017-02-23"
8001,"2017-03-09"
8001,"2017-03-23"
8001,"2017-04-06"
8001,"2017-04-20"
8001,"2017-05-04"
8001,"2017-05-18"
8001,"2017-06-01"
8001,"2017-06-15"
8001,"2017-06-29"
8001,"2017-07-13"
8001,"2017-07-27"
8001,"2017-08-10"
8001,"2017-08-24"
8001,"2017-09-07"
8001,"2017-09-21"
8001,"2017-10-05"
8001,"2017-10-19"
8001,"2017-11-02"
8001,"2017-11-16"
8001,"2017-11-30"
8001,"2017-12-14"
8001,"2017-12-28"
8002,"2017-01-06"
8002,"2017-01-20"
8002,"2017-02-03"
8002,"2017-02-17"
8002,"2017-03-03"
8002,"2017-03-17"
8002,"2017-03-31"
8002,"2017-04-28"
8002,"2017-05-12"
8002,"2017-05-26"
8002,"2017-06-09"
8002,"2017-06-23"
8002,"2017-07-07"
8002,"2017-07-21"
8002,"2017-08-04"
8002,"2017-08-18"
8002,"2017-09-01"
8002,"2017-09-15"
8002,"2017-09-29"
8002,"2017-10-13"
8002,"2017-10-27"
8002,"2017-11-10"
8002,"2017-11-24"
8002,"2017-12-08"
8002,"2017-12-22"
8003,"2017-01-05"
8003,"2017-01-19"
8003,"2017-02-02"
8003,"2017-02-16"
8003,"2017-03-02"
8003,"2017-03-16"
8003,"2017-03-30"
8003,"2017-04-13"
8003,"2017-04-27"
8003,"2017-05-11"
8003,"2017-06-08"
8003,"2017-06-22"
8003,"2017-07-06"
8003,"2017-07-20"
8003,"2017-08-03"
8003,"2017-08-17"
8003,"2017-08-31"
8003,"2017-09-14"
8003,"2017-09-28"
8003,"2017-10-12"
8003,"2017-10-26"
8003,"2017-11-09"
8003,"2017-11-23"
8003,"2017-12-07"
8003,"2017-12-21"
8004,"2017-01-13"
8004,"2017-01-27"
8004,"2017-02-10"
8004,"2017-02-24"
8004,"2017-03-10"
8004,"2017-03-24"
8004,"2017-04-07"
8004,"2017-04-21"
8004,"2017-05-05"
8004,"2017-05-19"
8004,"2017-06-02"
8004,"2017-06-16"
8004,"2017-06-30"
8004,"2017-07-14"
8004,"2017-07-28"
8004,"2017-08-11"
8004,"2017-08-25"
8004,"2017-09-08"
8004,"2017-09-22"
8004,"2017-10-06"
8004,"2017-10-20"
8004,"2017-11-03"
8004,"2017-11-17"
8004,"2017-12-01"
8004,"2017-12-15"
8004,"2017-12-29"
8005,"2017-01-13"
8005,"2017-01-27"
8005,"2017-02-10"
8005,"2017-02-24"
8005,"2017-03-10"
8005,"2017-03-24"
8005,"2017-04-07"
8005,"2017-04-21"
8005,"2017-05-05"
8005,"2017-05-19"
8005,"2017-06-02"
8005,"2017-06-16"
8005,"2017-06-30"
8005,"2017-07-14"
8005,"2017-07-28"
8005,"2017-08-11"
8005,"2017-08-25"
8005,"2017-09-08"
8005,"2017-09-22"
8005,"2017-10-06"
8005,"2017-10-20"
8005,"2017-11-03"
8005,"2017-11-17"
8005,"2017-12-01"
8005,"2017-12-15"
8005,"2017-12-29"
8006,"2017-01-10"
8006,"2017-01-24"
8006,"2017-02-07"
8006,"2017-02-21"
8006,"2017-03-07"
8006,"2017-03-21"
8006,"2017-04-04"
8006,"2017-04-18"
8006,"2017-05-02"
8006,"2017-05-16"
8006,"2017-05-30"
8006,"2017-06-13"
8006,"2017-06-27"
8006,"2017-07-11"
8006,"2017-07-25"
8006,"2017-08-08"
8006,"2017-08-22"
8006,"2017-09-05"
8006,"2017-09-19"
8006,"2017-10-03"
8006,"2017-10-17"
8006,"2017-10-31"
8006,"2017-11-14"
8006,"2017-11-28"
8006,"2017-12-12"
8008,"2017-01-12"
8008,"2017-01-26"
8008,"2017-02-09"
8008,"2017-02-23"
8008,"2017-03-09"
8008,"2017-03-23"
8008,"2017-04-06"
8008,"2017-04-20"
8008,"2017-05-04"
8008,"2017-05-18"
8008,"2017-06-01"
8008,"2017-06-15"
8008,"2017-06-29"
8008,"2017-07-13"
8008,"2017-07-27"
8008,"2017-08-10"
8008,"2017-08-24"
8008,"2017-09-07"
8008,"2017-09-21"
8008,"2017-10-05"
8008,"2017-10-19"
8008,"2017-11-02"
8008,"2017-11-16"
8008,"2017-11-30"
8008,"2017-12-14"
8008,"2017-12-28"
8032,"2017-01-11"
8032,"2017-01-25"
8032,"2017-02-08"
8032,"2017-02-22"
8032,"2017-03-08"
8032,"2017-03-22"
8032,"2017-04-05"
8032,"2017-04-19"
8032,"2017-05-03"
8032,"2017-05-17"
8032,"2017-05-31"
8032,"2017-06-14"
8032,"2017-06-28"
8032,"2017-07-12"
8032,"2017-07-26"
8032,"2017-08-09"
8032,"2017-08-23"
8032,"2017-09-06"
8032,"2017-09-20"
8032,"2017-10-04"
8032,"2017-10-18"
8032,"2017-11-01"
8032,"2017-11-15"
8032,"2017-11-29"
8032,"2017-12-13"
8032,"2017-12-27"
8037,"2017-01-16"
8037,"2017-01-30"
8037,"2017-02-13"
