"PLZ","Station","Abholdatum"
8001,"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht","2019-08-19"
8002,"Tessinerplatz","2019-09-03"
8003,"Alte evangelische Kirche/Albisriederstrasse 385","2019-10-02"
8003,"Helvetiaplatz","2019-09-30"
8003,"Tessinerplatz","2019-09-03"
8003,"Uetlibergstrasse 134","2019-09-04"
8003,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2019-09-05"
8004,"Helvetiaplatz","2019-09-30"
8005,"Röntgenplatz","2019-09-07"
8006,"Rigiplatz","2019-10-04"
8008,"Seefeldstrasse 152, Wertstoff-Sammelstelle","2019-09-17"
8032,"Merkurplatz: Minervastrasse/Merkurstrasse","2019-08-22"
8037,"Röschibachplatz/Röschibachstrasse 79","2019-09-18"
8038,"Etzelstrasse/Mutschellenstrasse","2019-09-19"
8041,"Leimbachstrasse 160/Klebestrasse, Wertstoff-Sammelstelle","2019-09-02"
8044,"Kirche Fluntern Wertstoff-Sammelstelle, Taxistand","2019-08-21"
8045,"Uetlibergstrasse 134","2019-09-04"
8046,"Wehntalerstrasse 539 beim Zehntenhausplatz (beim Kiosk)","2019-10-05"
8047,"Alte evangelische Kirche/Albisriederstrasse 385","2019-10-02"
8048,"Lindenplatz","2019-08-20"
8048,"Lindenplatz","2019-10-01"
8049,"Limmattalstrasse 227-229","2019-09-06"
8049,"Limmattalstrasse 227-229","2019-09-21"
8050,"Marktplatz Oerlikon","2019-09-20"
8051,"Schwamendingerplatz","2019-09-16"
8052,"Parkplatz Tramhaltestelle Seebach/Schaffhauserstrasse 501","2019-08-24"
8053,"Parkplatz Waag/Witikonerstrasse 390","2019-08-23"
8055,"Wasserschöpfi/Küngenmatt (Bad Heuried)","2019-09-05"
8057,"Milchbuckstrasse 2/Tramhaltestelle Guggachstrasse","2019-10-03"
8064,"Tramhaltestelle Werdhölzli, im Recyclinghof","2019-08-29"
