"PLZ";"Abholdatum"
8001;"Mo, 2. März 2015"
8001;"Mo, 18. Mai 2015"
8001;"Mo, 5. Oktober 2015"
8001;"Mo, 30. November 2015"
8002;"Do, 5. März 2015"
8002;"Do, 21. Mai 2015"
8002;"Do, 8. Oktober 2015"
8002;"Do, 3. Dezember 2015"
8003;"Do, 5. März 2015"
8003;"Do, 21. Mai 2015"
8003;"Do, 8. Oktober 2015"
8003;"Do, 3. Dezember 2015"
8004;"Fr, 6. März 2015"
8004;"Fr, 22. Mai 2015"
8004;"Fr, 9. Oktober 2015"
8004;"Fr, 4. Dezember 2015"
8005;"Do, 12. März 2015"
8005;"Fr, 29. Mai 2015"
8005;"Do, 15. Oktober 2015"
8005;"Do, 10. Dezember 2015"
8006;"Do, 12. März 2015"
8006;"Fr, 29. Mai 2015"
8006;"Do, 15. Oktober 2015"
8006;"Do, 10. Dezember 2015"
8008;"Mo, 2. März 2015"
8008;"Mo, 18. Mai 2015"
8008;"Mo, 5. Oktober 2015"
8008;"Mo, 30. November 2015"
8032;"Fr, 13. März 2015"
8032;"Mo, 1. Juni 2015"
8032;"Fr, 16. Oktober 2015"
8032;"Fr, 11. Dezember 2015"
8037;"Mi, 11. März 2015"
8037;"Do, 28. Mai 2015"
8037;"Mi, 14. Oktober 2015"
8037;"Mi, 9. Dezember 2015"
8038;"Di, 3. März 2015"
8038;"Di, 19. Mai 2015"
8038;"Di, 6. Oktober 2015"
8038;"Di, 1. Dezember 2015"
8041;"Di, 3. März 2015"
8041;"Di, 19. Mai 2015"
8041;"Di, 6. Oktober 2015"
8041;"Di, 1. Dezember 2015"
8044;"Fr, 13. März 2015"
8044;"Mo, 1. Juni 2015"
8044;"Fr, 16. Oktober 2015"
8044;"Fr, 11. Dezember 2015"
8045;"Di, 3. März 2015"
8045;"Di, 19. Mai 2015"
8045;"Di, 6. Oktober 2015"
8045;"Di, 1. Dezember 2015"
8046;"Mo, 9. März 2015"
8046;"Di, 26. Mai 2015"
8046;"Mo, 12. Oktober 2015"
8046;"Mo, 7. Dezember 2015"
8047;"Mi, 4. März 2015"
8047;"Mi, 20. Mai 2015"
8047;"Mi, 7. Oktober 2015"
8047;"Mi, 2. Dezember 2015"
8048;"Fr, 6. März 2015"
8048;"Fr, 22. Mai 2015"
8048;"Fr, 9. Oktober 2015"
8048;"Fr, 4. Dezember 2015"
8049;"Mo, 9. März 2015"
8049;"Di, 26. Mai 2015"
8049;"Mo, 12. Oktober 2015"
8049;"Mo, 7. Dezember 2015"
8050;"Di, 10. März 2015"
8050;"Mi, 27. Mai 2015"
8050;"Di, 13. Oktober 2015"
8050;"Di, 8. Dezember 2015"
8051;"Di, 10. März 2015"
8051;"Mi, 27. Mai 2015"
8051;"Di, 13. Oktober 2015"
8051;"Di, 8. Dezember 2015"
8052;"Mo, 9. März 2015"
8052;"Di, 26. Mai 2015"
8052;"Mo, 12. Oktober 2015"
8052;"Mo, 7. Dezember 2015"
8053;"Fr, 13. März 2015"
8053;"Mo, 1. Juni 2015"
8053;"Fr, 16. Oktober 2015"
8053;"Fr, 11. Dezember 2015"
8055;"Mi, 4. März 2015"
8055;"Mi, 20. Mai 2015"
8055;"Mi, 7. Oktober 2015"
8055;"Mi, 2. Dezember 2015"
8057;"Mi, 11. März 2015"
8057;"Do, 28. Mai 2015"
8057;"Mi, 14. Oktober 2015"
8057;"Mi, 9. Dezember 2015"
8064;"Mo, 9. März 2015"
8064;"Di, 26. Mai 2015"
8064;"Mo, 12. Oktober 2015"
8064;"Mo, 7. Dezember 2015"
