"PLZ","Abholdatum"
8001,"2019-03-04"
8001,"2019-06-17"
8001,"2019-09-16"
8001,"2019-12-02"
8002,"2019-03-07"
8002,"2019-06-20"
8002,"2019-09-19"
8002,"2019-12-05"
8003,"2019-03-07"
8003,"2019-06-20"
8003,"2019-09-19"
8003,"2019-12-05"
8004,"2019-03-08"
8004,"2019-06-21"
8004,"2019-09-20"
8004,"2019-12-06"
8005,"2019-03-14"
8005,"2019-06-27"
8005,"2019-09-26"
8005,"2019-12-12"
8006,"2019-03-14"
8006,"2019-06-27"
8006,"2019-09-26"
8006,"2019-12-12"
8008,"2019-03-04"
8008,"2019-06-17"
8008,"2019-09-16"
8008,"2019-12-02"
8032,"2019-03-15"
8032,"2019-06-28"
8032,"2019-09-27"
8032,"2019-12-13"
8037,"2019-03-13"
8037,"2019-06-26"
8037,"2019-09-25"
8037,"2019-12-11"
8038,"2019-03-05"
8038,"2019-06-18"
8038,"2019-09-17"
8038,"2019-12-03"
8041,"2019-03-05"
8041,"2019-06-18"
8041,"2019-09-17"
8041,"2019-12-03"
8044,"2019-03-15"
8044,"2019-06-28"
8044,"2019-09-27"
8044,"2019-12-13"
8045,"2019-03-05"
8045,"2019-06-18"
8045,"2019-09-17"
8045,"2019-12-03"
8046,"2019-03-11"
8046,"2019-06-24"
8046,"2019-09-23"
8046,"2019-12-09"
8047,"2019-03-06"
8047,"2019-06-19"
8047,"2019-09-18"
8047,"2019-12-04"
8048,"2019-03-08"
8048,"2019-06-21"
8048,"2019-09-20"
8048,"2019-12-06"
8049,"2019-03-11"
8049,"2019-06-24"
8049,"2019-09-23"
8049,"2019-12-09"
8050,"2019-03-12"
8050,"2019-06-25"
8050,"2019-09-24"
8050,"2019-12-10"
8051,"2019-03-12"
8051,"2019-06-25"
8051,"2019-09-24"
8051,"2019-12-10"
8052,"2019-03-11"
8052,"2019-06-24"
8052,"2019-09-23"
8052,"2019-12-09"
8053,"2019-03-15"
8053,"2019-06-28"
8053,"2019-09-27"
8053,"2019-12-13"
8055,"2019-03-06"
8055,"2019-06-19"
8055,"2019-09-18"
8055,"2019-12-04"
8057,"2019-03-13"
8057,"2019-06-26"
8057,"2019-09-25"
8057,"2019-12-11"
8064,"2019-03-11"
8064,"2019-06-24"
8064,"2019-09-23"
8064,"2019-12-09"
