"PLZ";"Station";"Abholdatum"
8001;"Burgwies";"Di, 13. Januar 2015"
8001;"Burgwies";"Di, 10. Februar 2015"
8001;"Burgwies";"Di, 10. März 2015"
8001;"Burgwies";"Di, 7. April 2015"
8001;"Burgwies";"Di, 5. Mai 2015"
8001;"Burgwies";"Di, 2. Juni 2015"
8001;"Burgwies";"Di, 30. Juni 2015"
8001;"Burgwies";"Di, 25. August 2015"
8001;"Burgwies";"Di, 22. September 2015"
8001;"Burgwies";"Di, 20. Oktober 2015"
8001;"Burgwies";"Di, 17. November 2015"
8001;"Burgwies";"Di, 15. Dezember 2015"
8001;"Tramdepot Hard";"Sa, 10. Januar 2015"
8001;"Tramdepot Hard";"Sa, 7. Februar 2015"
8001;"Tramdepot Hard";"Sa, 7. März 2015"
8001;"Tramdepot Hard";"Sa, 4. April 2015"
8001;"Tramdepot Hard";"Sa, 2. Mai 2015"
8001;"Tramdepot Hard";"Sa, 30. Mai 2015"
8001;"Tramdepot Hard";"Sa, 27. Juni 2015"
8001;"Tramdepot Hard";"Sa, 22. August 2015"
8001;"Tramdepot Hard";"Sa, 19. September 2015"
8001;"Tramdepot Hard";"Sa, 17. Oktober 2015"
8001;"Tramdepot Hard";"Sa, 14. November 2015"
8001;"Tramdepot Hard";"Sa, 12. Dezember 2015"
8001;"Tramdepot Universität Irchel";"Do, 15. Januar 2015"
8001;"Tramdepot Universität Irchel";"Do, 12. Februar 2015"
8001;"Tramdepot Universität Irchel";"Do, 12. März 2015"
8001;"Tramdepot Universität Irchel";"Do, 9. April 2015"
8001;"Tramdepot Universität Irchel";"Do, 7. Mai 2015"
8001;"Tramdepot Universität Irchel";"Do, 4. Juni 2015"
8001;"Tramdepot Universität Irchel";"Do, 2. Juli 2015"
8001;"Tramdepot Universität Irchel";"Do, 27. August 2015"
8001;"Tramdepot Universität Irchel";"Do, 24. September 2015"
8001;"Tramdepot Universität Irchel";"Do, 22. Oktober 2015"
8001;"Tramdepot Universität Irchel";"Do, 19. November 2015"
8001;"Tramdepot Universität Irchel";"Do, 17. Dezember 2015"
8002;"Strassenverkehrsamt";"Fr, 30. Januar 2015"
8002;"Strassenverkehrsamt";"Fr, 27. Februar 2015"
8002;"Strassenverkehrsamt";"Fr, 27. März 2015"
8002;"Strassenverkehrsamt";"Fr, 24. April 2015"
8002;"Strassenverkehrsamt";"Fr, 22. Mai 2015"
8002;"Strassenverkehrsamt";"Fr, 19. Juni 2015"
8002;"Strassenverkehrsamt";"Fr, 11. September 2015"
8002;"Strassenverkehrsamt";"Fr, 9. Oktober 2015"
8002;"Strassenverkehrsamt";"Fr, 6. November 2015"
8002;"Strassenverkehrsamt";"Fr, 4. Dezember 2015"
8002;"Wollishofen";"Mo, 26. Januar 2015"
8002;"Wollishofen";"Mo, 23. Februar 2015"
8002;"Wollishofen";"Mo, 23. März 2015"
8002;"Wollishofen";"Mo, 20. April 2015"
8002;"Wollishofen";"Mo, 18. Mai 2015"
8002;"Wollishofen";"Mo, 15. Juni 2015"
8002;"Wollishofen";"Mo, 7. September 2015"
8002;"Wollishofen";"Mo, 5. Oktober 2015"
8002;"Wollishofen";"Mo, 2. November 2015"
8002;"Wollishofen";"Mo, 30. November 2015"
8003;"Letzigrund";"Di, 6. Januar 2015"
8003;"Letzigrund";"Di, 3. Februar 2015"
8003;"Letzigrund";"Di, 3. März 2015"
8003;"Letzigrund";"Di, 31. März 2015"
8003;"Letzigrund";"Di, 28. April 2015"
8003;"Letzigrund";"Di, 26. Mai 2015"
8003;"Letzigrund";"Di, 23. Juni 2015"
8003;"Letzigrund";"Di, 18. August 2015"
8003;"Letzigrund";"Di, 15. September 2015"
8003;"Letzigrund";"Di, 13. Oktober 2015"
8003;"Letzigrund";"Di, 10. November 2015"
8003;"Letzigrund";"Di, 8. Dezember 2015"
8003;"Strassenverkehrsamt";"Fr, 30. Januar 2015"
8003;"Strassenverkehrsamt";"Fr, 27. Februar 2015"
8003;"Strassenverkehrsamt";"Fr, 27. März 2015"
8003;"Strassenverkehrsamt";"Fr, 24. April 2015"
8003;"Strassenverkehrsamt";"Fr, 22. Mai 2015"
8003;"Strassenverkehrsamt";"Fr, 19. Juni 2015"
8003;"Strassenverkehrsamt";"Fr, 11. September 2015"
8003;"Strassenverkehrsamt";"Fr, 9. Oktober 2015"
8003;"Strassenverkehrsamt";"Fr, 6. November 2015"
8003;"Strassenverkehrsamt";"Fr, 4. Dezember 2015"
8004;"Letzigrund";"Di, 6. Januar 2015"
8004;"Letzigrund";"Di, 3. Februar 2015"
8004;"Letzigrund";"Di, 3. März 2015"
8004;"Letzigrund";"Di, 31. März 2015"
8004;"Letzigrund";"Di, 28. April 2015"
8004;"Letzigrund";"Di, 26. Mai 2015"
8004;"Letzigrund";"Di, 23. Juni 2015"
8004;"Letzigrund";"Di, 18. August 2015"
8004;"Letzigrund";"Di, 15. September 2015"
8004;"Letzigrund";"Di, 13. Oktober 2015"
8004;"Letzigrund";"Di, 10. November 2015"
8004;"Letzigrund";"Di, 8. Dezember 2015"
8004;"Tramdepot Hard";"Sa, 10. Januar 2015"
8004;"Tramdepot Hard";"Sa, 7. Februar 2015"
8004;"Tramdepot Hard";"Sa, 7. März 2015"
8004;"Tramdepot Hard";"Sa, 4. April 2015"
8004;"Tramdepot Hard";"Sa, 2. Mai 2015"
8004;"Tramdepot Hard";"Sa, 30. Mai 2015"
8004;"Tramdepot Hard";"Sa, 27. Juni 2015"
8004;"Tramdepot Hard";"Sa, 22. August 2015"
8004;"Tramdepot Hard";"Sa, 19. September 2015"
8004;"Tramdepot Hard";"Sa, 17. Oktober 2015"
8004;"Tramdepot Hard";"Sa, 14. November 2015"
8004;"Tramdepot Hard";"Sa, 12. Dezember 2015"
8005;"Tramdepot Hard";"Sa, 10. Januar 2015"
8005;"Tramdepot Hard";"Sa, 7. Februar 2015"
8005;"Tramdepot Hard";"Sa, 7. März 2015"
8005;"Tramdepot Hard";"Sa, 4. April 2015"
8005;"Tramdepot Hard";"Sa, 2. Mai 2015"
8005;"Tramdepot Hard";"Sa, 30. Mai 2015"
8005;"Tramdepot Hard";"Sa, 27. Juni 2015"
8005;"Tramdepot Hard";"Sa, 22. August 2015"
8005;"Tramdepot Hard";"Sa, 19. September 2015"
8005;"Tramdepot Hard";"Sa, 17. Oktober 2015"
8005;"Tramdepot Hard";"Sa, 14. November 2015"
8005;"Tramdepot Hard";"Sa, 12. Dezember 2015"
8006;"Tramdepot Universität Irchel";"Do, 15. Januar 2015"
8006;"Tramdepot Universität Irchel";"Do, 12. Februar 2015"
8006;"Tramdepot Universität Irchel";"Do, 12. März 2015"
8006;"Tramdepot Universität Irchel";"Do, 9. April 2015"
8006;"Tramdepot Universität Irchel";"Do, 7. Mai 2015"
8006;"Tramdepot Universität Irchel";"Do, 4. Juni 2015"
8006;"Tramdepot Universität Irchel";"Do, 2. Juli 2015"
8006;"Tramdepot Universität Irchel";"Do, 27. August 2015"
8006;"Tramdepot Universität Irchel";"Do, 24. September 2015"
8006;"Tramdepot Universität Irchel";"Do, 22. Oktober 2015"
8006;"Tramdepot Universität Irchel";"Do, 19. November 2015"
8006;"Tramdepot Universität Irchel";"Do, 17. Dezember 2015"
8008;"Burgwies";"Di, 13. Januar 2015"
8008;"Burgwies";"Di, 10. Februar 2015"
8008;"Burgwies";"Di, 10. März 2015"
8008;"Burgwies";"Di, 7. April 2015"
8008;"Burgwies";"Di, 5. Mai 2015"
8008;"Burgwies";"Di, 2. Juni 2015"
8008;"Burgwies";"Di, 30. Juni 2015"
8008;"Burgwies";"Di, 25. August 2015"
8008;"Burgwies";"Di, 22. September 2015"
8008;"Burgwies";"Di, 20. Oktober 2015"
8008;"Burgwies";"Di, 17. November 2015"
8008;"Burgwies";"Di, 15. Dezember 2015"
8008;"Tiefenbrunnen";"Mo, 19. Januar 2015"
8008;"Tiefenbrunnen";"Mo, 16. Februar 2015"
8008;"Tiefenbrunnen";"Mo, 16. März 2015"
8008;"Tiefenbrunnen";"Mo, 11. Mai 2015"
8008;"Tiefenbrunnen";"Mo, 8. Juni 2015"
8008;"Tiefenbrunnen";"Mo, 6. Juli 2015"
8008;"Tiefenbrunnen";"Mo, 31. August 2015"
8008;"Tiefenbrunnen";"Mo, 28. September 2015"
8008;"Tiefenbrunnen";"Mo, 26. Oktober 2015"
8008;"Tiefenbrunnen";"Mo, 23. November 2015"
8008;"Tiefenbrunnen";"Mo, 21. Dezember 2015"
8032;"Burgwies";"Di, 13. Januar 2015"
8032;"Burgwies";"Di, 10. Februar 2015"
8032;"Burgwies";"Di, 10. März 2015"
8032;"Burgwies";"Di, 7. April 2015"
8032;"Burgwies";"Di, 5. Mai 2015"
8032;"Burgwies";"Di, 2. Juni 2015"
8032;"Burgwies";"Di, 30. Juni 2015"
8032;"Burgwies";"Di, 25. August 2015"
8032;"Burgwies";"Di, 22. September 2015"
8032;"Burgwies";"Di, 20. Oktober 2015"
8032;"Burgwies";"Di, 17. November 2015"
8032;"Burgwies";"Di, 15. Dezember 2015"
8037;"Tramdepot Hard";"Sa, 10. Januar 2015"
8037;"Tramdepot Hard";"Sa, 7. Februar 2015"
8037;"Tramdepot Hard";"Sa, 7. März 2015"
8037;"Tramdepot Hard";"Sa, 4. April 2015"
8037;"Tramdepot Hard";"Sa, 2. Mai 2015"
8037;"Tramdepot Hard";"Sa, 30. Mai 2015"
8037;"Tramdepot Hard";"Sa, 27. Juni 2015"
8037;"Tramdepot Hard";"Sa, 22. August 2015"
8037;"Tramdepot Hard";"Sa, 19. September 2015"
8037;"Tramdepot Hard";"Sa, 17. Oktober 2015"
8037;"Tramdepot Hard";"Sa, 14. November 2015"
