"PLZ","Station","Abholdatum"
8001,"Burgwies","Mo, 11. Januar 2016"
8001,"Burgwies","Mo, 8. Februar 2016"
8001,"Burgwies","Mo, 7. März 2016"
8001,"Burgwies","Mo, 11. April 2016"
8001,"Burgwies","Mo, 9. Mai 2016"
8001,"Burgwies","Mo, 6. Juni 2016"
8001,"Burgwies","Mo, 4. Juli 2016"
8001,"Burgwies","Mo, 29. August 2016"
8001,"Burgwies","Mo, 12. September 2016"
8001,"Burgwies","Mo, 10. Oktober 2016"
8001,"Burgwies","Mo, 21. November 2016"
8001,"Burgwies","Mo, 19. Dezember 2016"
8001,"Tramdepot Hard","Sa, 23. Januar 2016"
8001,"Tramdepot Hard","Sa, 20. Februar 2016"
8001,"Tramdepot Hard","Sa, 19. März 2016"
8001,"Tramdepot Hard","Sa, 23. April 2016"
8001,"Tramdepot Hard","Sa, 21. Mai 2016"
8001,"Tramdepot Hard","Sa, 18. Juni 2016"
8001,"Tramdepot Hard","Sa, 16. Juli 2016"
8001,"Tramdepot Hard","Sa, 27. August 2016"
8001,"Tramdepot Hard","Sa, 24. September 2016"
8001,"Tramdepot Hard","Sa, 22. Oktober 2016"
8001,"Tramdepot Hard","Sa, 5. November 2016"
8001,"Tramdepot Hard","Sa, 3. Dezember 2016"
8001,"Tramdepot Universität Irchel","Do, 28. Januar 2016"
8001,"Tramdepot Universität Irchel","Do, 25. Februar 2016"
8001,"Tramdepot Universität Irchel","Do, 24. März 2016"
8001,"Tramdepot Universität Irchel","Do, 28. April 2016"
8001,"Tramdepot Universität Irchel","Do, 26. Mai 2016"
8001,"Tramdepot Universität Irchel","Do, 23. Juni 2016"
8001,"Tramdepot Universität Irchel","Do, 18. August 2016"
8001,"Tramdepot Universität Irchel","Do, 29. September 2016"
8001,"Tramdepot Universität Irchel","Do, 27. Oktober 2016"
8001,"Tramdepot Universität Irchel","Do, 10. November 2016"
8001,"Tramdepot Universität Irchel","Do, 8. Dezember 2016"
8002,"Strassenverkehrsamt","Fr, 15. Januar 2016"
8002,"Strassenverkehrsamt","Fr, 12. Februar 2016"
8002,"Strassenverkehrsamt","Fr, 11. März 2016"
8002,"Strassenverkehrsamt","Fr, 29. April 2016"
8002,"Strassenverkehrsamt","Fr, 13. Mai 2016"
8002,"Strassenverkehrsamt","Fr, 10. Juni 2016"
8002,"Strassenverkehrsamt","Fr, 8. Juli 2016"
8002,"Strassenverkehrsamt","Fr, 2. September 2016"
8002,"Strassenverkehrsamt","Fr, 16. September 2016"
8002,"Strassenverkehrsamt","Fr, 14. Oktober 2016"
8002,"Strassenverkehrsamt","Fr, 25. November 2016"
8002,"Strassenverkehrsamt","Fr, 23. Dezember 2016"
8002,"Wollishofen","Mo, 18. Januar 2016"
8002,"Wollishofen","Mo, 15. Februar 2016"
8002,"Wollishofen","Mo, 14. März 2016"
8002,"Wollishofen","Mo, 18. April 2016"
8002,"Wollishofen","Mo, 30. Mai 2016"
8002,"Wollishofen","Mo, 27. Juni 2016"
8002,"Wollishofen","Mo, 22. August 2016"
8002,"Wollishofen","Mo, 19. September 2016"
8002,"Wollishofen","Mo, 17. Oktober 2016"
8002,"Wollishofen","Mo, 14. November 2016"
8002,"Wollishofen","Mo, 12. Dezember 2016"
8003,"Letzigrund","Mi, 20. Januar 2016"
8003,"Letzigrund","Mi, 17. Februar 2016"
8003,"Letzigrund","Mi, 16. März 2016"
8003,"Letzigrund","Mi, 20. April 2016"
8003,"Letzigrund","Mi, 18. Mai 2016"
8003,"Letzigrund","Mi, 15. Juni 2016"
8003,"Letzigrund","Mi, 29. Juni 2016"
8003,"Letzigrund","Mi, 24. August 2016"
8003,"Letzigrund","Mi, 21. September 2016"
8003,"Letzigrund","Mi, 19. Oktober 2016"
8003,"Letzigrund","Mi, 2. November 2016"
8003,"Letzigrund","Mi, 30. November 2016"
8003,"Strassenverkehrsamt","Fr, 15. Januar 2016"
8003,"Strassenverkehrsamt","Fr, 12. Februar 2016"
8003,"Strassenverkehrsamt","Fr, 11. März 2016"
8003,"Strassenverkehrsamt","Fr, 29. April 2016"
8003,"Strassenverkehrsamt","Fr, 13. Mai 2016"
8003,"Strassenverkehrsamt","Fr, 10. Juni 2016"
8003,"Strassenverkehrsamt","Fr, 8. Juli 2016"
8003,"Strassenverkehrsamt","Fr, 2. September 2016"
8003,"Strassenverkehrsamt","Fr, 16. September 2016"
8003,"Strassenverkehrsamt","Fr, 14. Oktober 2016"
8003,"Strassenverkehrsamt","Fr, 25. November 2016"
8003,"Strassenverkehrsamt","Fr, 23. Dezember 2016"
8004,"Letzigrund","Mi, 20. Januar 2016"
8004,"Letzigrund","Mi, 17. Februar 2016"
8004,"Letzigrund","Mi, 16. März 2016"
8004,"Letzigrund","Mi, 20. April 2016"
8004,"Letzigrund","Mi, 18. Mai 2016"
8004,"Letzigrund","Mi, 15. Juni 2016"
8004,"Letzigrund","Mi, 29. Juni 2016"
8004,"Letzigrund","Mi, 24. August 2016"
8004,"Letzigrund","Mi, 21. September 2016"
8004,"Letzigrund","Mi, 19. Oktober 2016"
8004,"Letzigrund","Mi, 2. November 2016"
8004,"Letzigrund","Mi, 30. November 2016"
8004,"Tramdepot Hard","Sa, 23. Januar 2016"
8004,"Tramdepot Hard","Sa, 20. Februar 2016"
8004,"Tramdepot Hard","Sa, 19. März 2016"
8004,"Tramdepot Hard","Sa, 23. April 2016"
