termin,wochentag,art,zone,dayofweek
2020-03-09,Mo,Kehrichtabfuhr,F,1
2020-03-12,Do,Kehrichtabfuhr,F,4
2020-03-26,Do,Kehrichtabfuhr,F,4
2020-03-30,Mo,Kehrichtabfuhr,F,1
2020-04-02,Do,Kehrichtabfuhr,F,4
2020-04-06,Mo,Kehrichtabfuhr,F,1
2020-04-23,Do,Kehrichtabfuhr,F,4
2020-04-27,Mo,Kehrichtabfuhr,F,1
2020-05-25,Mo,Kehrichtabfuhr,F,1
2020-05-28,Do,Kehrichtabfuhr,F,4
2020-06-08,Mo,Kehrichtabfuhr,F,1
2020-06-22,Mo,Kehrichtabfuhr,F,1
2020-06-29,Mo,Kehrichtabfuhr,F,1
2020-07-02,Do,Kehrichtabfuhr,F,4
2020-07-16,Do,Kehrichtabfuhr,F,4
2020-07-20,Mo,Kehrichtabfuhr,F,1
2020-08-13,Do,Kehrichtabfuhr,F,4
2020-08-20,Do,Kehrichtabfuhr,F,4
2020-09-03,Do,Kehrichtabfuhr,F,4
2020-09-17,Do,Kehrichtabfuhr,F,4
2020-09-21,Mo,Kehrichtabfuhr,F,1
2020-09-28,Mo,Kehrichtabfuhr,F,1
2020-10-01,Do,Kehrichtabfuhr,F,4
2020-10-05,Mo,Kehrichtabfuhr,F,1
2020-10-08,Do,Kehrichtabfuhr,F,4
2020-10-12,Mo,Kehrichtabfuhr,F,1
2020-10-15,Do,Kehrichtabfuhr,F,4
2020-10-26,Mo,Kehrichtabfuhr,F,1
2020-11-02,Mo,Kehrichtabfuhr,F,1
2020-11-12,Do,Kehrichtabfuhr,F,4
2020-11-30,Mo,Kehrichtabfuhr,F,1
2020-12-03,Do,Kehrichtabfuhr,F,4
2020-12-10,Do,Kehrichtabfuhr,F,4
2020-12-17,Do,Kehrichtabfuhr,F,4
2020-12-24,Do,Kehrichtabfuhr,F,4
2020-12-28,Mo,Kehrichtabfuhr,F,1
2020-01-02,Do,Kehrichtabfuhr,G,4
2020-02-03,Mo,Kehrichtabfuhr,G,1
2020-02-13,Do,Kehrichtabfuhr,G,4
2020-02-24,Mo,Kehrichtabfuhr,G,1
2020-02-27,Do,Kehrichtabfuhr,G,4
2020-03-09,Mo,Kehrichtabfuhr,G,1
2020-03-23,Mo,Kehrichtabfuhr,G,1
2020-03-26,Do,Kehrichtabfuhr,G,4
2020-04-06,Mo,Kehrichtabfuhr,G,1
2020-04-27,Mo,Kehrichtabfuhr,G,1
2020-05-07,Do,Kehrichtabfuhr,G,4
2020-05-18,Mo,Kehrichtabfuhr,G,1
2020-06-18,Do,Kehrichtabfuhr,G,4
2020-07-09,Do,Kehrichtabfuhr,G,4
2020-08-03,Mo,Kehrichtabfuhr,G,1
2020-08-13,Do,Kehrichtabfuhr,G,4
2020-08-24,Mo,Kehrichtabfuhr,G,1
2020-08-27,Do,Kehrichtabfuhr,G,4
2020-09-28,Mo,Kehrichtabfuhr,G,1
2020-10-05,Mo,Kehrichtabfuhr,G,1
2020-10-15,Do,Kehrichtabfuhr,G,4
2020-10-19,Mo,Kehrichtabfuhr,G,1
2020-10-22,Do,Kehrichtabfuhr,G,4
2020-10-26,Mo,Kehrichtabfuhr,G,1
2020-10-29,Do,Kehrichtabfuhr,G,4
2020-11-02,Mo,Kehrichtabfuhr,G,1
2020-11-09,Mo,Kehrichtabfuhr,G,1
2020-11-12,Do,Kehrichtabfuhr,G,4
2020-12-10,Do,Kehrichtabfuhr,G,4
2020-12-24,Do,Kehrichtabfuhr,G,4
2020-12-28,Mo,Kehrichtabfuhr,G,1
2020-12-31,Do,Kehrichtabfuhr,G,4
2020-01-03,Fr,Kehrichtabfuhr,H,5
2020-01-14,Di,Kehrichtabfuhr,H,2
2020-01-24,Fr,Kehrichtabfuhr,H,5
