region,zip,name,oil,glass,metal,textile
basel,4058,Kirchgasse 9,False,True,True,False
basel,4058,Rheinfelderstrasse 35,False,True,True,False
basel,4056,Schlachthofstrasse 18,False,True,True,False
basel,4056,Entenweidstrasse 86,False,True,True,False
basel,4055,Spalenring 1,False,True,True,False
basel,4052,Sevogelstrasse 91,False,True,True,False
basel,4058,Schwarzwaldallee 220,False,True,True,False
basel,4053,Walkeweg 36,False,True,True,False
basel,4058,Wittlingerstrasse 170,False,True,True,False
basel,4055,Oekolampadstrasse 6,False,True,True,False
basel,4125,Im Niederholzboden,False,True,True,False
basel,4125,Kornfeldstrasse,False,True,True,False
basel,4125,Grenzacherweg,False,True,True,False
basel,4125,Steingrubenweg,False,True,True,False
basel,4051,Petersgraben 51,False,True,True,False
basel,4055,Belforterstrasse 142,False,True,True,False
basel,4058,Erlenstrasse 1,False,True,True,False
basel,4059,Zur Gempenfluh 36,False,True,True,False
basel,4051,Höhenweg / Erdbeergraben,False,True,True,False
basel,4056,Lenzgasse 41,False,True,True,False
basel,4057,Hochbergerstrasse 75,False,True,True,False
basel,4057,Feldbergstrasse 99,False,True,True,False
basel,4057,Efringerstrasse 28,False,True,True,False
basel,4054,Neubadstrasse 150,False,True,True,False
basel,4053,Giornicostrasse150,False,True,True,False
basel,4056,Lichtstrasse 1,False,True,True,False
basel,4054,Rümelinbachweg 6,False,True,True,False
basel,4057,Klybeckstrasse 170,False,True,True,False
basel,4052,Birsstrasse 90,False,True,True,False
basel,4053,Dornacherstrasse 339,False,True,True,False
basel,4059,Bruderholzallee 197,False,True,True,False
basel,4125,Rössligasse,False,True,True,False
basel,4125,Mühlestiegstrasse,False,True,True,False
basel,4053,Thiersteinerallee 12,False,True,True,False
basel,4058,Mattenstrasse 22,False,True,True,False
basel,4058,Signalstrasse 25,False,True,True,False
basel,4126,Brohegasse,False,True,True,False
basel,4051,Henric Petri-Strasse 9,False,True,True,False
basel,4052,St.Alban-Ring 282,False,True,True,False
basel,4057,Klingentalstrasse 45,False,True,True,False
basel,4057,Inselstrasse 76,False,True,True,False
basel,4055,St.Galler-Ring 7,False,True,True,False
basel,4056,St.Johanns-Platz 8,False,True,True,False
basel,4058,Erlenstrasse 74,False,True,True,False
basel,4058,Fasanenstrasse 182,False,True,True,False
basel,4058,Teichgässlein 7,False,True,True,False
basel,4056,Spitalstrasse 52,False,True,True,False
basel,4059,Bruderholzallee 32,False,True,True,False
basel,4052,Brunngässlein 41,False,True,True,False
basel,4052,Zürcherstrasse 158,False,True,True,False
basel,4052,Gellertstrasse 151,False,True,True,False
basel,4053,Tellstrasse 2,False,True,True,False
basel,4055,Bungestrasse 6,False,True,True,False
basel,4058,Grenzacherstrasse/ Grenzacher-Promenade,False,True,True,False
basel,4055,Michelbacherstrasse 8,False,True,True,False
basel,4052,Karl Barth-Platz 9,False,True,True,False
basel,4058,Clarastrasse 46,False,True,True,False
basel,4125,Haselrain,False,True,True,False
basel,4125,Bahnhofstrasse,False,True,True,False
basel,4125,Niederholzstrasse,False,True,True,False
basel,4125,Bluttrainweg,False,True,True,False
basel,4125,Hinter der Mühle,False,True,True,False
basel,4059,Schäublinstrasse 140,False,True,True,False
basel,4054,Bundesplatz,False,True,True,False
basel,4057,Bonergasse 71,False,True,True,False
basel,4053,Gundeldingerstrasse 207,False,True,True,False
