"PLZ";"Abholdatum"
8001;"Mo, 6. Januar 2014"
8001;"Mo, 20. Januar 2014"
8001;"Mo, 3. Februar 2014"
8001;"Mo, 17. Februar 2014"
8001;"Mo, 3. März 2014"
8001;"Mo, 17. März 2014"
8001;"Mo, 24. März 2014"
8001;"Mo, 31. März 2014"
8001;"Mo, 7. April 2014"
8001;"Mo, 14. April 2014"
8001;"Mi, 23. April 2014"
8001;"Mo, 28. April 2014"
8001;"Mo, 5. Mai 2014"
8001;"Mo, 12. Mai 2014"
8001;"Mo, 19. Mai 2014"
8001;"Mo, 26. Mai 2014"
8001;"Mo, 2. Juni 2014"
8001;"Sa, 7. Juni 2014"
8001;"Mo, 16. Juni 2014"
8001;"Mo, 23. Juni 2014"
8001;"Mo, 30. Juni 2014"
8001;"Mo, 7. Juli 2014"
8001;"Mo, 14. Juli 2014"
8001;"Mo, 21. Juli 2014"
8001;"Mo, 28. Juli 2014"
8001;"Mo, 4. August 2014"
8001;"Mo, 11. August 2014"
8001;"Mo, 18. August 2014"
8001;"Mo, 25. August 2014"
8001;"Mo, 1. September 2014"
8001;"Mo, 8. September 2014"
8001;"Mo, 15. September 2014"
8001;"Mo, 22. September 2014"
8001;"Mo, 29. September 2014"
8001;"Mo, 6. Oktober 2014"
8001;"Mo, 13. Oktober 2014"
8001;"Mo, 20. Oktober 2014"
8001;"Mo, 27. Oktober 2014"
8001;"Mo, 3. November 2014"
8001;"Mo, 10. November 2014"
8001;"Mo, 17. November 2014"
8001;"Mo, 24. November 2014"
8001;"Mo, 1. Dezember 2014"
8001;"Mo, 8. Dezember 2014"
8001;"Mo, 22. Dezember 2014"
8002;"Mi, 8. Januar 2014"
8002;"Mi, 22. Januar 2014"
8002;"Mi, 5. Februar 2014"
8002;"Mi, 19. Februar 2014"
8002;"Mi, 5. März 2014"
8002;"Mi, 19. März 2014"
8002;"Mi, 26. März 2014"
8002;"Mi, 2. April 2014"
8002;"Mi, 9. April 2014"
8002;"Mi, 16. April 2014"
8002;"Mi, 23. April 2014"
8002;"Mi, 30. April 2014"
8002;"Mi, 7. Mai 2014"
8002;"Mi, 14. Mai 2014"
8002;"Mi, 21. Mai 2014"
8002;"Mi, 28. Mai 2014"
8002;"Mi, 4. Juni 2014"
8002;"Mi, 11. Juni 2014"
8002;"Mi, 18. Juni 2014"
8002;"Mi, 25. Juni 2014"
8002;"Mi, 2. Juli 2014"
8002;"Mi, 9. Juli 2014"
8002;"Mi, 16. Juli 2014"
8002;"Mi, 23. Juli 2014"
8002;"Mi, 30. Juli 2014"
8002;"Mi, 6. August 2014"
8002;"Mi, 13. August 2014"
8002;"Mi, 20. August 2014"
8002;"Mi, 27. August 2014"
8002;"Mi, 3. September 2014"
8002;"Mi, 10. September 2014"
8002;"Mi, 17. September 2014"
8002;"Mi, 24. September 2014"
8002;"Mi, 1. Oktober 2014"
8002;"Mi, 8. Oktober 2014"
8002;"Mi, 15. Oktober 2014"
8002;"Mi, 22. Oktober 2014"
8002;"Mi, 29. Oktober 2014"
8002;"Mi, 5. November 2014"
8002;"Mi, 12. November 2014"
8002;"Mi, 19. November 2014"
8002;"Mi, 26. November 2014"
8002;"Mi, 3. Dezember 2014"
8002;"Mi, 10. Dezember 2014"
8002;"Mi, 24. Dezember 2014"
8003;"Mi, 8. Januar 2014"
8003;"Mi, 22. Januar 2014"
8003;"Mi, 5. Februar 2014"
8003;"Mi, 19. Februar 2014"
8003;"Mi, 5. März 2014"
8003;"Mi, 19. März 2014"
8003;"Mi, 26. März 2014"
8003;"Mi, 2. April 2014"
8003;"Mi, 9. April 2014"
8003;"Mi, 16. April 2014"
8003;"Mi, 23. April 2014"
8003;"Mi, 30. April 2014"
8003;"Mi, 7. Mai 2014"
8003;"Mi, 14. Mai 2014"
8003;"Mi, 21. Mai 2014"
8003;"Mi, 28. Mai 2014"
8003;"Mi, 4. Juni 2014"
8003;"Mi, 11. Juni 2014"
8003;"Mi, 18. Juni 2014"
8003;"Mi, 25. Juni 2014"
8003;"Mi, 2. Juli 2014"
8003;"Mi, 9. Juli 2014"
8003;"Mi, 16. Juli 2014"
