PLZ,Sammelstelle,Oel,Glas,Metall,Textil
,Sturzeneggstrasse,,X,X,
,Stationsstrasse,,X,X,X
,Schorenplatz,,X,X,X
,Blumenbergplatz,,X,X,
,Spelteriniplatz,,X,X,
,Heiligkreuz,,X,X,
,Brauerstrasse,,X,X,
,EKZ Neumarkt/Davidstrasse,,X,X,
,Pic-o-Pello-Platz/Wallstrasse,,X,X,
,Schulhaus Rotmonten,,X,X,
,Bahnhof Winkeln,,X,X,X
,Bahnhof Haggen,X,X,X,
,"Riethüsli, Im Grund",,X,X,X
,Dreilindenstrasse,,X,X,
,KVA/Sonderabfallsammelstelle Rechenwaldstrasse 32,X,,X,
,EKZ Lerchenfeld,,X,X,
,Parkplatz Schlössli,,X,X,
,Burgstrasse/Zeughaus,,X,X,
,Spiltrücklistrasse,,X,X,X
,Untere Büschenstrasse,,X,X,
,Bachstrasse,,X,X,
,EKZ Gallusmarkt,,X,X,X
,Sömmerliwaldstrasse,X,X,X,
,Ahornstrasse,,X,X,X
,Teufener Strasse,,X,X,X
,Grabenpärkli,,X,X,
,Mühlegg,,X,X,
,EKZ Grossacker,,X,X,X
,Güterbahnhofstrasse 6,X,,X,
,Steinachstrasse 92,X,,X,
