PLZ,Abholdatum,Tour
8800,2018-01-03,
8800,2018-01-10,
8800,2018-01-17,
8800,2018-01-24,
8800,2018-01-31,
8800,2018-02-07,
8800,2018-02-14,
8800,2018-02-21,
8800,2018-02-28,
8800,2018-03-07,
8800,2018-03-14,
8800,2018-03-21,
8800,2018-03-28,
8800,2018-04-04,
8800,2018-04-11,
8800,2018-04-18,
8800,2018-04-25,
8800,2018-05-02,
8800,2018-05-09,
8800,2018-05-16,
8800,2018-05-23,
8800,2018-05-30,
8800,2018-06-06,
8800,2018-06-13,
8800,2018-06-20,
8800,2018-06-27,
8800,2018-07-04,
8800,2018-07-11,
8800,2018-07-18,
8800,2018-07-25,
8800,2018-08-01,
8800,2018-08-08,
8800,2018-08-15,
8800,2018-08-22,
8800,2018-08-29,
8800,2018-09-05,
8800,2018-09-12,
8800,2018-09-19,
8800,2018-09-26,
8800,2018-10-03,
8800,2018-10-10,
8800,2018-10-17,
8800,2018-10-24,
8800,2018-10-31,
8800,2018-11-07,
8800,2018-11-14,
8800,2018-11-21,
8800,2018-11-28,
8800,2018-12-05,
8800,2018-12-19,
8800,2019-01-03,
8800,2019-01-09,
8800,2019-01-16,
8800,2019-01-23,
8800,2019-01-30,
8800,2019-02-06,
8800,2019-02-13,
8800,2019-02-20,
8800,2019-02-27,
8800,2019-03-06,
8800,2019-03-13,
8800,2019-03-20,
8800,2019-03-27,
8800,2019-04-03,
8800,2019-04-10,
8800,2019-04-17,
8800,2019-04-24,
8800,2019-05-02,
8800,2019-05-08,
8800,2019-05-15,
8800,2019-05-22,
8800,2019-05-29,
8800,2019-06-05,
8800,2019-06-12,
8800,2019-06-19,
8800,2019-06-26,
8800,2019-07-03,
8800,2019-07-10,
8800,2019-07-17,
8800,2019-07-24,
8800,2019-07-31,
8800,2019-08-07,
8800,2019-08-14,
8800,2019-08-21,
8800,2019-08-28,
8800,2019-09-04,
8800,2019-09-11,
8800,2019-09-18,
8800,2019-09-25,
8800,2019-10-02,
8800,2019-10-09,
8800,2019-10-16,
8800,2019-10-23,
8800,2019-10-30,
8800,2019-11-06,
8800,2019-11-13,
8800,2019-11-20,
8800,2019-11-27,
8800,2019-12-04,
8800,2019-12-18,
8800,2020-01-03,
8800,2020-01-08,
8800,2020-01-15,
8800,2020-01-22,
8800,2020-01-29,
8800,2020-02-05,
8800,2020-02-12,
8800,2020-02-19,
8800,2020-02-26,
8800,2020-03-04,
8800,2020-03-11,
8800,2020-03-18,
8800,2020-03-25,
8800,2020-04-01,
8800,2020-04-08,
8800,2020-04-15,
8800,2020-04-22,
8800,2020-04-29,
8800,2020-05-06,
8800,2020-05-13,
8800,2020-05-20,
8800,2020-05-27,
8800,2020-06-03,
8800,2020-06-10,
8800,2020-06-17,
8800,2020-06-24,
8800,2020-07-01,
8800,2020-07-08,
8800,2020-07-15,
8800,2020-07-22,
8800,2020-07-29,
8800,2020-08-05,
8800,2020-08-12,
8800,2020-08-19,
8800,2020-08-26,
8800,2020-09-02,
8800,2020-09-09,
8800,2020-09-16,
8800,2020-09-23,
8800,2020-09-30,
8800,2020-10-07,
8800,2020-10-14,
8800,2020-10-21,
8800,2020-10-28,
8800,2020-11-04,
8800,2020-11-11,
8800,2020-11-18,
8800,2020-11-25,
8800,2020-12-02,
8800,2020-12-16,
8800,2021-01-06,
8800,2021-01-13,
8800,2021-01-20,
8800,2021-01-27,
8800,2021-02-03,
8800,2021-02-10,
8800,2021-02-17,
8800,2021-02-24,
8800,2021-03-03,
8800,2021-03-10,
8800,2021-03-17,
8800,2021-03-24,
8800,2021-03-31,
8800,2021-04-07,
8800,2021-04-14,
8800,2021-04-21,
8800,2021-04-28,
8800,2021-05-05,
8800,2021-05-12,
8800,2021-05-19,
8800,2021-05-26,
8800,2021-06-02,
8800,2021-06-09,
8800,2021-06-16,
8800,2021-06-23,
8800,2021-06-30,
8800,2021-07-07,
8800,2021-07-14,
8800,2021-07-21,
8800,2021-07-28,
8800,2021-08-04,
8800,2021-08-11,
8800,2021-08-18,
8800,2021-08-25,
8800,2021-09-01,
8800,2021-09-08,
8800,2021-09-15,
8800,2021-09-22,
8800,2021-09-29,
8800,2021-10-06,
8800,2021-10-13,
8800,2021-10-20,
8800,2021-10-27,
8800,2021-11-03,
8800,2021-11-10,
8800,2021-11-17,
8800,2021-11-24,
8800,2021-12-01,
8800,2021-12-08,
8800,2021-12-15,
8800,2021-12-22,
8800,2022-01-05,
8800,2022-01-12,
8800,2022-01-19,
8800,2022-01-26,
8800,2022-02-02,
8800,2022-02-09,
8800,2022-02-16,
8800,2022-02-23,
8800,2022-03-02,
8800,2022-03-09,
8800,2022-03-16,
8800,2022-03-23,
8800,2022-03-30,
8800,2022-04-06,
8800,2022-04-13,
8800,2022-04-20,
8800,2022-04-27,
8800,2022-05-04,
8800,2022-05-11,
8800,2022-05-18,
8800,2022-05-25,
8800,2022-06-01,
8800,2022-06-08,
8800,2022-06-15,
8800,2022-06-22,
8800,2022-06-29,
8800,2022-07-06,
8800,2022-07-13,
8800,2022-07-20,
8800,2022-07-27,
8800,2022-08-03,
8800,2022-08-10,
8800,2022-08-17,
8800,2022-08-24,
8800,2022-08-31,
8800,2022-09-07,
8800,2022-09-14,
8800,2022-09-21,
8800,2022-09-28,
8800,2022-10-05,
8800,2022-10-12,
8800,2022-10-19,
8800,2022-10-26,
8800,2022-11-02,
8800,2022-11-09,
8800,2022-11-16,
8800,2022-11-23,
8800,2022-11-30,
8800,2022-12-07,
8800,2022-12-21,
