PLZ,Abholdatum,Tour
8800,2018-01-04,A
8800,2018-01-11,B
8800,2018-01-18,C
8800,2018-02-01,A
8800,2018-02-08,B
8800,2018-02-15,C
8800,2018-03-01,A
8800,2018-03-08,B
8800,2018-03-15,C
8800,2018-04-05,A
8800,2018-04-12,B
8800,2018-04-19,C
8800,2018-05-03,A
8800,2018-05-17,B
8800,2018-05-24,C
8800,2018-06-07,A
8800,2018-06-14,B
8800,2018-06-21,C
8800,2018-07-05,A
8800,2018-07-12,B
8800,2018-07-19,C
8800,2018-08-02,A
8800,2018-08-09,B
8800,2018-08-16,C
8800,2018-09-06,A
8800,2018-09-12,B
8800,2018-09-20,C
8800,2018-10-04,A
8800,2018-10-11,B
8800,2018-10-18,C
8800,2018-11-01,A
8800,2018-11-08,B
8800,2018-11-15,C
8800,2018-12-06,A
8800,2018-12-13,B
8800,2018-12-20,C
8800,2019-01-10,A
8800,2019-01-17,B
8800,2019-01-24,C
8800,2019-02-07,A
8800,2019-02-14,B
8800,2019-02-21,C
8800,2019-03-07,A
8800,2019-03-14,B
8800,2019-03-21,C
8800,2019-04-04,A
8800,2019-04-11,B
8800,2019-04-18,C
8800,2019-05-02,A
8800,2019-05-09,B
8800,2019-05-16,C
8800,2019-06-06,A
8800,2019-06-13,B
8800,2019-06-20,C
8800,2019-07-04,A
8800,2019-07-11,B
8800,2019-07-18,C
8800,2019-08-08,A
8800,2019-08-15,B
8800,2019-08-22,C
8800,2019-09-05,A
8800,2019-09-12,B
8800,2019-09-19,C
8800,2019-10-03,A
8800,2019-10-10,B
8800,2019-10-17,C
8800,2019-11-07,A
8800,2019-11-14,B
8800,2019-11-21,C
8800,2019-12-05,A
8800,2019-12-12,B
8800,2019-12-19,C
8800,2020-01-09,A
8800,2020-01-16,B
8800,2020-01-23,C
8800,2020-02-06,A
8800,2020-02-13,B
8800,2020-02-20,C
8800,2020-03-05,A
8800,2020-03-12,B
8800,2020-03-19,C
8800,2020-04-02,A
8800,2020-04-09,B
8800,2020-04-16,C
8800,2020-05-07,A
8800,2020-05-14,B
8800,2020-05-28,C
8800,2020-06-04,A
8800,2020-06-11,B
8800,2020-06-18,C
8800,2020-07-02,A
8800,2020-07-09,B
8800,2020-07-16,C
8800,2020-08-06,A
8800,2020-08-13,B
8800,2020-08-20,C
8800,2020-09-03,A
8800,2020-09-10,B
8800,2020-09-17,C
8800,2020-10-01,A
8800,2020-10-08,B
8800,2020-10-15,C
8800,2020-11-05,A
8800,2020-11-12,B
8800,2020-11-19,C
8800,2020-12-03,A
8800,2020-12-10,B
8800,2020-12-17,C
8800,2021-01-07,A
8800,2021-01-14,B
8800,2021-01-21,C
8800,2021-02-04,A
8800,2021-02-11,B
8800,2021-02-18,C
8800,2021-03-04,A
8800,2021-03-11,B
8800,2021-03-18,C
8800,2021-04-01,A
8800,2021-04-08,B
8800,2021-04-15,C
8800,2021-05-06,A
8800,2021-05-20,B
8800,2021-05-27,C
8800,2021-06-03,A
8800,2021-06-10,B
8800,2021-06-17,C
8800,2021-07-01,A
8800,2021-07-08,B
8800,2021-07-15,C
8800,2021-08-05,A
8800,2021-08-12,B
8800,2021-08-19,C
8800,2021-09-02,A
8800,2021-09-09,B
8800,2021-09-16,C
8800,2021-10-07,A
8800,2021-10-14,B
8800,2021-10-21,C
8800,2021-11-04,A
8800,2021-11-11,B
8800,2021-11-18,C
8800,2021-12-02,A
8800,2021-12-09,B
8800,2021-12-16,C
8800,2022-01-06,A
8800,2022-01-13,B
8800,2022-01-20,C
8800,2022-02-03,A
8800,2022-02-10,B
8800,2022-02-17,C
8800,2022-03-03,A
8800,2022-03-10,B
8800,2022-03-17,C
8800,2022-04-07,A
8800,2022-04-14,B
8800,2022-04-21,C
8800,2022-05-05,A
8800,2022-05-12,B
8800,2022-05-19,C
8800,2022-06-02,A
8800,2022-06-09,B
8800,2022-06-16,C
8800,2022-07-07,A
8800,2022-07-14,B
8800,2022-07-21,C
8800,2022-08-04,A
8800,2022-08-11,B
8800,2022-08-18,C
8800,2022-09-01,A
8800,2022-09-08,B
8800,2022-09-15,C
8800,2022-10-06,A
8800,2022-10-13,B
8800,2022-10-20,C
8800,2022-11-03,A
8800,2022-11-10,B
8800,2022-11-17,C
8800,2022-12-01,A
8800,2022-12-08,B
8800,2022-12-15,C
