PLZ,Abholdatum,Tour
8800,2018-01-06,
8800,2018-02-03,
8800,2018-03-03,
8800,2018-04-07,
8800,2018-05-05,
8800,2018-06-02,
8800,2018-07-07,
8800,2018-08-04,
8800,2018-09-01,
8800,2018-10-06,
8800,2018-11-03,
8800,2018-12-01,
8800,2019-01-05,
8800,2019-02-02,
8800,2019-03-02,
8800,2019-04-06,
8800,2019-05-04,
8800,2019-06-01,
8800,2019-07-06,
8800,2019-08-03,
8800,2019-09-07,
8800,2019-10-05,
8800,2019-11-02,
8800,2019-12-07,
8800,2020-01-04,
8800,2020-02-01,
8800,2020-03-07,
8800,2020-04-04,
8800,2020-05-02,
8800,2020-06-06,
8800,2020-07-04,
8800,2020-08-08,
8800,2020-09-05,
8800,2020-10-03,
8800,2020-11-07,
8800,2020-12-05,
8800,2021-01-09,
8800,2021-02-06,
8800,2021-03-06,
8800,2021-04-03,
8800,2021-05-08,
8800,2021-06-05,
8800,2021-07-03,
8800,2021-08-07,
8800,2021-09-04,
8800,2021-10-02,
8800,2021-11-06,
8800,2021-12-04,
8800,2022-01-08,
8800,2022-02-05,
8800,2022-03-05,
8800,2022-04-02,
8800,2022-05-07,
8800,2022-06-04,
8800,2022-07-02,
8800,2022-08-06,
8800,2022-09-03,
8800,2022-10-01,
8800,2022-11-05,
8800,2022-12-03,
