PLZ,Sammelstelle,Oel,Glas,Metall,Textil
8800,Hofwiesenstrasse",,X,X,X
8800,"Sihlhaldenstrasse",X,X,X,X
8800,"Säumerstrasse, Armbrustschützen",X,X,X,X
8800,"Seehalden-/Alpenstrasse",,X,X,X
8800,"Breitelistrasse",X,X,X,X
8800,"Kronenbergstrasse",,X,X,X
8800,"Florastrasse, bei Coop",,X,X,X,X
8800,"Alter Schiessstand, Dorfstrasse 71",X,X,X,X
8800,"Häuslerstrasse",,X,X,X
8800,"Schwandelstrasse, bei Migros",,X,X,X
8800,"Tödistrasse, beim Schulhaus Feld",,X,X,X
8800,"Bahnhofareal, beim Güterschuppen",,,,X
