PLZ,Abholdatum,Tour
8800,2018-01-03,
8800,2018-01-10,
8800,2018-01-17,
8800,2018-01-24,
8800,2018-01-31,
8800,2018-02-07,
8800,2018-02-14,
8800,2018-02-21,
8800,2018-02-28,
8800,2018-03-07,
8800,2018-03-14,
8800,2018-03-21,
8800,2018-03-28,
8800,2018-04-04,
8800,2018-04-11,
8800,2018-04-18,
8800,2018-04-25,
8800,2018-05-02,
8800,2018-05-09,
8800,2018-05-16,
8800,2018-05-23,
8800,2018-05-30,
8800,2018-06-06,
8800,2018-06-13,
8800,2018-06-20,
8800,2018-06-27,
8800,2018-07-04,
8800,2018-07-11,
8800,2018-07-18,
8800,2018-07-25,
8800,2018-08-01,
8800,2018-08-08,
8800,2018-08-15,
8800,2018-08-22,
8800,2018-08-29,
8800,2018-09-05,
8800,2018-09-12,
8800,2018-09-19,
8800,2018-09-26,
8800,2018-10-03,
8800,2018-10-10,
8800,2018-10-17,
8800,2018-10-24,
8800,2018-10-31,
8800,2018-11-07,
8800,2018-11-14,
8800,2018-11-21,
8800,2018-11-28,
8800,2018-12-05,
8800,2018-12-19,
