PLZ,Abholdatum,Tour
8800,2019-01-10,A
8800,2019-01-17,B
8800,2019-01-24,C
8800,2019-02-07,A
8800,2019-02-14,B
8800,2019-02-21,C
8800,2019-03-07,A
8800,2019-03-14,B
8800,2019-03-21,C
8800,2019-04-04,A
8800,2019-04-11,B
8800,2019-04-18,C
8800,2019-05-02,A
8800,2019-05-09,B
8800,2019-05-16,C
8800,2019-06-06,A
8800,2019-06-13,B
8800,2019-06-20,C
8800,2019-07-04,A
8800,2019-07-11,B
8800,2019-07-18,C
8800,2019-08-08,A
8800,2019-08-15,B
8800,2019-08-22,C
8800,2019-09-05,A
8800,2019-09-12,B
8800,2019-09-19,C
8800,2019-10-03,A
8800,2019-10-10,B
8800,2019-10-17,C
8800,2019-11-07,A
8800,2019-11-14,B
8800,2019-11-21,C
8800,2019-12-05,A
8800,2019-12-12,B
8800,2019-12-19,C
