PLZ,Abholdatum,Tour
8800,2020-01-06,A
8800,2020-01-13,A
8800,2020-01-20,A
8800,2020-01-27,A
8800,2020-02-03,A
8800,2020-02-10,A
8800,2020-02-17,A
8800,2020-02-24,A
8800,2020-03-02,A
8800,2020-03-09,A
8800,2020-03-16,A
8800,2020-03-23,A
8800,2020-03-30,A
8800,2020-04-06,A
8800,2020-04-14,A
8800,2020-04-20,A
8800,2020-04-27,A
8800,2020-05-04,A
8800,2020-05-11,A
8800,2020-05-18,A
8800,2020-05-25,A
8800,2020-06-02,A
8800,2020-06-08,A
8800,2020-06-15,A
8800,2020-06-22,A
8800,2020-06-29,A
8800,2020-07-06,A
8800,2020-07-13,A
8800,2020-07-20,A
8800,2020-07-27,A
8800,2020-08-03,A
8800,2020-08-10,A
8800,2020-08-17,A
8800,2020-08-24,A
8800,2020-08-31,A
8800,2020-09-07,A
8800,2020-09-14,A
8800,2020-09-21,A
8800,2020-09-28,A
8800,2020-10-05,A
8800,2020-10-12,A
8800,2020-10-19,A
8800,2020-10-26,A
8800,2020-11-02,A
8800,2020-11-09,A
8800,2020-11-16,A
8800,2020-11-23,A
8800,2020-11-30,A
8800,2020-12-07,A
8800,2020-12-14,A
8800,2020-12-21,A
8800,2020-12-28,A
8800,2020-01-03,B
8800,2020-01-07,B
8800,2020-01-14,B
8800,2020-01-21,B
8800,2020-01-28,B
8800,2020-02-04,B
8800,2020-02-11,B
8800,2020-02-18,B
8800,2020-02-25,B
8800,2020-03-03,B
8800,2020-03-10,B
8800,2020-03-17,B
8800,2020-03-24,B
8800,2020-03-31,B
8800,2020-04-07,B
8800,2020-04-14,B
8800,2020-04-21,B
8800,2020-04-28,B
8800,2020-05-05,B
8800,2020-05-12,B
8800,2020-05-19,B
8800,2020-05-26,B
8800,2020-06-02,B
8800,2020-06-09,B
8800,2020-06-16,B
8800,2020-06-23,B
8800,2020-06-30,B
8800,2020-07-07,B
8800,2020-07-14,B
8800,2020-07-21,B
8800,2020-07-28,B
8800,2020-08-04,B
8800,2020-08-11,B
8800,2020-08-18,B
8800,2020-08-25,B
8800,2020-09-01,B
8800,2020-09-08,B
8800,2020-09-15,B
8800,2020-09-22,B
8800,2020-09-29,B
8800,2020-10-06,B
8800,2020-10-13,B
8800,2020-10-20,B
8800,2020-10-27,B
8800,2020-11-03,B
8800,2020-11-10,B
8800,2020-11-17,B
8800,2020-11-24,B
8800,2020-12-01,B
8800,2020-12-08,B
8800,2020-12-15,B
8800,2020-12-22,B
8800,2020-12-29,B
8800,2020-01-03,C
8800,2020-01-10,C
8800,2020-01-17,C
8800,2020-01-24,C
8800,2020-01-31,C
8800,2020-02-07,C
8800,2020-02-14,C
8800,2020-02-21,C
8800,2020-02-28,C
8800,2020-03-06,C
8800,2020-03-13,C
8800,2020-03-20,C
8800,2020-03-27,C
8800,2020-04-03,C
8800,2020-04-14,C
8800,2020-04-17,C
8800,2020-04-24,C
8800,2020-05-04,C
8800,2020-05-08,C
8800,2020-05-15,C
8800,2020-05-22,C
8800,2020-05-29,C
8800,2020-06-05,C
8800,2020-06-12,C
8800,2020-06-19,C
8800,2020-06-26,C
8800,2020-07-03,C
8800,2020-07-10,C
8800,2020-07-17,C
8800,2020-07-24,C
8800,2020-07-31,C
8800,2020-08-07,C
8800,2020-08-14,C
8800,2020-08-21,C
8800,2020-08-28,C
8800,2020-09-04,C
8800,2020-09-11,C
8800,2020-09-18,C
8800,2020-09-25,C
8800,2020-10-02,C
8800,2020-10-09,C
8800,2020-10-16,C
8800,2020-10-23,C
8800,2020-10-30,C
8800,2020-11-06,C
8800,2020-11-13,C
8800,2020-11-20,C
8800,2020-11-27,C
8800,2020-12-04,C
8800,2020-12-11,C
8800,2020-12-18,C
8800,2020-12-28,C
