"PLZ","Abholdatum"
8306,"2023-01-09"
8306,"2023-01-23"
8306,"2023-02-06"
8306,"2023-02-20"
8306,"2023-03-06"
8306,"2023-03-13"
8306,"2023-03-20"
8306,"2023-03-27"
8306,"2023-04-03"
8306,"2023-04-12"
8306,"2023-04-17"
8306,"2023-04-24"
8306,"2023-05-03"
8306,"2023-05-08"
8306,"2023-05-15"
8306,"2023-05-22"
8306,"2023-05-31"
8306,"2023-06-05"
8306,"2023-06-12"
8306,"2023-06-19"
8306,"2023-06-26"
8306,"2023-07-03"
8306,"2023-07-10"
8306,"2023-07-17"
8306,"2023-07-24"
8306,"2023-07-31"
8306,"2023-08-07"
8306,"2023-08-14"
8306,"2023-08-21"
8306,"2023-08-28"
8306,"2023-09-04"
8306,"2023-09-11"
8306,"2023-09-18"
8306,"2023-09-25"
8306,"2023-10-02"
8306,"2023-10-09"
8306,"2023-10-16"
8306,"2023-10-23"
8306,"2023-10-30"
8306,"2023-11-06"
8306,"2023-11-13"
8306,"2023-11-20"
8306,"2023-11-27"
8306,"2023-12-11"
8306,"2023-12-22"
