"PLZ","Abholdatum"
8306,"2023-01-06"
8306,"2023-01-13"
8306,"2023-01-20"
8306,"2023-01-27"
8306,"2023-02-03"
8306,"2023-02-10"
8306,"2023-02-17"
8306,"2023-02-24"
8306,"2023-03-03"
8306,"2023-03-10"
8306,"2023-03-17"
8306,"2023-03-24"
8306,"2023-03-31"
8306,"2023-04-06"
8306,"2023-04-14"
8306,"2023-04-21"
8306,"2023-04-28"
8306,"2023-05-05"
8306,"2023-05-12"
8306,"2023-05-19"
8306,"2023-05-26"
8306,"2023-06-02"
8306,"2023-06-09"
8306,"2023-06-16"
8306,"2023-06-23"
8306,"2023-06-30"
8306,"2023-07-07"
8306,"2023-07-14"
8306,"2023-07-21"
8306,"2023-07-28"
8306,"2023-08-04"
8306,"2023-08-11"
8306,"2023-08-18"
8306,"2023-08-25"
8306,"2023-09-01"
8306,"2023-09-08"
8306,"2023-09-15"
8306,"2023-09-22"
8306,"2023-09-29"
8306,"2023-10-06"
8306,"2023-10-13"
8306,"2023-10-20"
8306,"2023-10-27"
8306,"2023-11-03"
8306,"2023-11-10"
8306,"2023-11-17"
8306,"2023-11-24"
8306,"2023-12-01"
8306,"2023-12-08"
8306,"2023-12-15"
8306,"2023-12-22"
8306,"2023-12-29"
