"region","zip","name","oil","glass","metal","textile","description"
"wetzikon",8620,"Hauptsammelstelle Flos",True,True,True,True,"Usterstrasse 192, 8620 Wetzikon"
"wetzikon",8623,"Hauptsammelstelle Kempten",True,True,True,True,"Stationsstrasse 19, 8623 Wetzikon"
"wetzikon",8620,"Medikon",False,True,True,False,"Neugrundstrasse 2, 8620 Wetzikon"
"wetzikon",8620,"Morgenhalde-Tannenrain",False,True,True,True,"Güetlistrasse, 8620 Wetzikon"
"wetzikon",8620,"Entsorgung im Oberland-Märt",False,False,True,False,"im Oberland-Märt, Bahnhofstrasse 151, 8620 Wetzikon"
"wetzikon",8620,"Pappelnstrasse",False,True,True,True,"Pappelnstrasse, 8620 Wetzikon"
"wetzikon",8620,"Sammelstelle Tödipark",False,True,True,False,"Gewerbeschulstrasse, 8620 Wetzikon"
"wetzikon",8620,"Usterstrasse 58",False,True,True,False,"Usterstrasse 58, 8620 Wetzikon"
"wetzikon",8620,"Ettenhauserstrasse 40",False,True,True,False,"Ettenhauserstrasse 40, 8620 Wetzikon"
"wetzikon",8620,"Landi Markt AG",False,True,True,False,"Motorenstrasse 87, 8620 Wetzikon"
"wetzikon",8620,"Kratzstrasse",False,True,True,True,"Kratzstrasse, 8620 Wetzikon"
"wetzikon",8623,"Stationsstrasse 58",False,True,False,False,"Stationsstrasse 58, 8623 Wetzikon"
"wetzikon",8620,"Mönchbergstrasse 1",False,True,True,False,"Mönchbergstrasse 1, 8620 Wetzikon"
"wetzikon",8620,"Ettenhausen",False,True,True,True,"Dieterseggstrasse (bei Spritzenhaus), 8620 Wetzikon"
