"region","zip","name","oil","glass","metal","textile","description"
"winterthur",8400,"Kiesstrasse",True,True,True,False,"Meilistrasse 2, 8400 Winterthur"
"winterthur",8400,"Neuwiesen",True,True,True,False,"Gertrudstrasse 1, 8400 Winterthur"
"winterthur",8400,"Technikum",True,True,True,False,"Technikumstrasse 59, 8400 Winterthur"
"winterthur",8400,"Schützenwiese",True,True,True,False,"Rennweg 4, 8400 Winterthur"
"winterthur",8400,"Wiesenstrasse (temporär)",False,True,True,False,"Wiesenstrasse, Feldstrasse Delphinplatz, 8400 Winterthur"
"winterthur",8400,"Teuchelweiher",True,True,True,True,"Obermühlestrasse 5, 8400 Winterthur"
"winterthur",8400,"Breite",True,True,True,False,"Breitestrasse 71, 8400 Winterthur"
"winterthur",8400,"Zentrum Rosenberg",True,True,True,False,"Seuzacherstrasse 30, 8400 Winterthur"
"winterthur",8400,"Talgut",True,True,True,True,"Talgutstrasse 34, 8400 Winterthur"
"winterthur",8404,"Dorf Oberi",True,True,True,False,"Römerstrasse 159, 8404 Winterthur"
"winterthur",8404,"Talwiesen",True,True,True,True,"Talwiesenstrasse 1, 8404 Winterthur"
"winterthur",8400,"Gutschick",True,True,True,False,"Scheideggstrasse 6, 8400 Winterthur"
"winterthur",8406,"Bahnhof Töss",True,True,True,True,"Coop Töss, Reutgasse 12, 8406 Winterthur"
"winterthur",8406,"Eichliacker",True,True,True,True,"Eichliackerstrasse 85, 8406 Winterthur"
"winterthur",8406,"Schlosstal",True,True,True,False,"Schlosstalstrasse 100, 8406 Winterthur"
"winterthur",8404,"Guggenbühl",True,True,True,True,"Guggenbühlstrasse 1, 8404 Winterthur"
"winterthur",8404,"Grüze-Markt",True,True,True,True,"Rudolf Diesel-Strasse 19, 8404 Winterthur"
"winterthur",8404,"Zinzikon",True,True,True,False,"Stadlerstrasse 82, 8404 Winterthur"
"winterthur",8408,"Coop Wülflingen",True,True,True,True,"Eulachstrasse 6, 8408 Winterthur"
"winterthur",8400,"Coop Seen",True,True,True,True,"Tösstalstrasse 236, 8400 Winterthur"
"winterthur",8408,"Wässerwiesen",True,True,True,False,"Wülflingen, Wässerwiesenstrasse vis-à-vis 55, 8408 Winterthur"
"winterthur",8409,"Coop Hegi",True,True,True,False,"Stäffelistrasse 2, 8409 Winterthur"
"winterthur",8405,"Zentrum Seen",True,True,True,False,"Kanzleistrasse 23, 8405 Winterthur"
"winterthur",8408,"Badi Wülflingen",True,True,True,True,"Wässerwiesenstrasse 71, 8408 Winterthur"
"winterthur",8482,"Sennhof Bahnhof",True,True,True,False,"Seenhof Bahnhof, Tösstalstrasse 377, 8482 Winterthur"
