"PLZ","Station","Glas","Metall","Oel","Textilien"
8001,"Bahnhofquai vis-à-vis 5","x","x",,"x"
8001,"Gessnerallee vis-à-vis 36","x","x",,"x"
8001,"Hirschengraben 13","x","x",,"x"
8001,"Utoquai 21","x",,,
8002,"Am Schanzengraben 25","x","x",,"x"
8002,"Brunaustrasse 6","x","x","x","x"
8002,"General-Guisan-Quai 31","x",,,
8002,"General-Guisan-Quai 37","x",,,
8002,"Grütlstrasse 4","x","x",,"x"
8002,"Klopstockstrasse 23","x","x","x","x"
8002,"Mythenquai 1","x",,,
8002,"Mythenquai 21","x",,,
8003,"Aegertenstrasse vis-à-vis 16","x","x",,"x"
8003,"Bertastrasse vis à -vis 59","x","x",,
8003,"Fritschistrasse vis-à-vis 11","x","x",,"x"
8003,"Idaplatz 4","x","x",,"x"
8003,"Letzigraben 26","x","x",,"x"
8003,"Meinrad-Lienert-Strasse vis-à-vis 1","x","x",,"x"
8003,"Schlossgasse vis-à-vis 22","x","x",,
8003,"Seebahnstrasse 89 vis-à-vis Post","x","x",,"x"
8003,"Zentralstrasse vis-à-vis 76","x","x","x","x"
8004,"Albisriederplatz 6","x","x","x","x"
8004,"Bullingerstrasse 41","x","x",,"x"
8004,"Erismannstrasse 31","x","x","x","x"
8004,"Hohlstrasse vis-à-vis 90","x","x",,"x"
8004,"Kanzleistrasse 137","x","x",,"x"
8004,"Kochstrasse 21","x","x",,"x"
8004,"Lagerstrasse 47","x","x",,
8004,"Molkenstrasse vis à vis 5","x","x",,"x"
8004,"Seebahnstrasse 171","x","x",,"x"
8004,"St. Jakobstr. vis-à-vis 29","x","x","x","x"
8004,"Tellstrasse 31","x","x","x","x"
8004,"Weberstrasse 3","x","x",,"x"
8004,"Zimmerlistrasse vis-à-vis 4","x","x",,"x"
8005,"Geroldstrasse 35","x","x",,"x"
8005,"Hardturmstrasse 126","x","x",,"x"
8005,"Heinrichstrasse 200 unter Viadukt","x","x","x","x"
8005,"Josefstrasse 92","x","x",,
8005,"Konradstrasse 79","x","x",,"x"
8005,"Röntgenstrasse 39","x","x",,"x"
8005,"Sportweg 39","x","x",,"x"
8006,"Kronenstrasse 19","x","x",,"x"
8006,"Ottikerstrasse vis-à-vis 61","x","x",,"x"
8006,"Scheuchzerstrasse vis-à-vis 98","x","x",,"x"
8006,"Sonneggstrasse 26","x","x",,"x"
8006,"Sonneggstrasse vis-à-vis 84","x","x",,"x"
8006,"Vogelsang vis-à-vis 33","x","x",,"x"
8006,"Weinbergstrasse 131","x","x","x","x"
8008,"Bellerivestrasse 158","x",,,
8008,"Bleulerstrasse 70","x","x",,"x"
8008,"Höschgasse 4","x",,,
8008,"Mittelstrasse 6","x","x",,"x"
8008,"Mühlebachstrasse 200","x","x",,"x"
8008,"Mühlebachstrasse 35","x","x","x","x"
8008,"Riesbachstrasse 61","x","x",,"x"
8008,"Seefeldquai 8","x",,,
