"PLZ","Station","Abholdatum"
8001,"Burgwies","2014-01-07"
8001,"Burgwies","2014-02-04"
8001,"Burgwies","2014-03-04"
8001,"Burgwies","2014-04-01"
8001,"Burgwies","2014-04-29"
8001,"Burgwies","2014-05-06"
8001,"Burgwies","2014-06-03"
8001,"Burgwies","2014-07-01"
8001,"Burgwies","2014-08-19"
8001,"Burgwies","2014-09-16"
8001,"Burgwies","2014-10-14"
8001,"Burgwies","2014-11-11"
8001,"Burgwies","2014-12-09"
8001,"Tramdepot Hard","2014-01-25"
8001,"Tramdepot Hard","2014-02-22"
8001,"Tramdepot Hard","2014-03-22"
8001,"Tramdepot Hard","2014-04-26"
8001,"Tramdepot Hard","2014-05-24"
8001,"Tramdepot Hard","2014-06-28"
8001,"Tramdepot Hard","2014-08-23"
8001,"Tramdepot Hard","2014-09-27"
8001,"Tramdepot Hard","2014-10-25"
8001,"Tramdepot Hard","2014-11-22"
8001,"Tramdepot Hard","2014-12-20"
8001,"Tramdepot Universität Irchel","2014-01-24"
8001,"Tramdepot Universität Irchel","2014-02-21"
8001,"Tramdepot Universität Irchel","2014-03-21"
8001,"Tramdepot Universität Irchel","2014-04-25"
8001,"Tramdepot Universität Irchel","2014-05-16"
8001,"Tramdepot Universität Irchel","2014-06-13"
8001,"Tramdepot Universität Irchel","2014-07-11"
8001,"Tramdepot Universität Irchel","2014-08-22"
8001,"Tramdepot Universität Irchel","2014-09-19"
8001,"Tramdepot Universität Irchel","2014-10-10"
8001,"Tramdepot Universität Irchel","2014-11-07"
8001,"Tramdepot Universität Irchel","2014-12-12"
8002,"Strassenverkehrsamt","2014-01-10"
8002,"Strassenverkehrsamt","2014-02-07"
8002,"Strassenverkehrsamt","2014-03-07"
8002,"Strassenverkehrsamt","2014-04-04"
8002,"Strassenverkehrsamt","2014-05-02"
8002,"Strassenverkehrsamt","2014-06-06"
8002,"Strassenverkehrsamt","2014-07-04"
8002,"Strassenverkehrsamt","2014-09-05"
8002,"Strassenverkehrsamt","2014-10-03"
8002,"Strassenverkehrsamt","2014-10-31"
8002,"Strassenverkehrsamt","2014-12-05"
8002,"Wollishofen","2014-01-23"
8002,"Wollishofen","2014-02-20"
8002,"Wollishofen","2014-03-20"
8002,"Wollishofen","2014-04-17"
8002,"Wollishofen","2014-05-22"
8002,"Wollishofen","2014-06-12"
8002,"Wollishofen","2014-07-10"
8002,"Wollishofen","2014-09-25"
8002,"Wollishofen","2014-10-23"
8002,"Wollishofen","2014-11-27"
8003,"Letzigrund","2014-01-21"
8003,"Letzigrund","2014-02-18"
8003,"Letzigrund","2014-03-18"
8003,"Letzigrund","2014-04-15"
8003,"Letzigrund","2014-05-20"
8003,"Letzigrund","2014-06-17"
8003,"Letzigrund","2014-08-26"
8003,"Letzigrund","2014-09-23"
8003,"Letzigrund","2014-10-21"
8003,"Letzigrund","2014-11-25"
8003,"Letzigrund","2014-12-23"
8003,"Strassenverkehrsamt","2014-01-10"
8003,"Strassenverkehrsamt","2014-02-07"
8003,"Strassenverkehrsamt","2014-03-07"
8003,"Strassenverkehrsamt","2014-04-04"
8003,"Strassenverkehrsamt","2014-05-02"
8003,"Strassenverkehrsamt","2014-06-06"
8003,"Strassenverkehrsamt","2014-07-04"
8003,"Strassenverkehrsamt","2014-09-05"
8003,"Strassenverkehrsamt","2014-10-03"
8003,"Strassenverkehrsamt","2014-10-31"
