"PLZ","Abholdatum"
8001,"2014-01-23"
8001,"2014-02-20"
8001,"2014-03-20"
8001,"2014-04-17"
8001,"2014-05-15"
8001,"2014-06-12"
8001,"2014-07-10"
8001,"2014-08-07"
8001,"2014-09-04"
8001,"2014-10-02"
8001,"2014-10-30"
8001,"2014-11-27"
8001,"2014-12-29"
8002,"2014-01-13"
8002,"2014-02-10"
8002,"2014-03-10"
8002,"2014-04-07"
8002,"2014-05-05"
8002,"2014-06-02"
8002,"2014-06-30"
8002,"2014-07-28"
8002,"2014-08-25"
8002,"2014-09-22"
8002,"2014-10-20"
8002,"2014-11-17"
8002,"2014-12-15"
8003,"2014-01-17"
8003,"2014-02-14"
8003,"2014-03-14"
8003,"2014-04-11"
8003,"2014-05-09"
8003,"2014-06-06"
8003,"2014-07-04"
8003,"2014-08-02"
8003,"2014-08-29"
8003,"2014-09-26"
8003,"2014-10-24"
8003,"2014-11-21"
8003,"2014-12-19"
8004,"2014-01-15"
8004,"2014-02-12"
8004,"2014-03-12"
8004,"2014-04-09"
8004,"2014-05-07"
8004,"2014-06-04"
8004,"2014-07-02"
8004,"2014-07-30"
8004,"2014-08-27"
8004,"2014-09-24"
8004,"2014-10-22"
8004,"2014-11-19"
8004,"2014-12-17"
8005,"2014-01-16"
8005,"2014-02-13"
8005,"2014-03-13"
8005,"2014-04-10"
8005,"2014-05-08"
8005,"2014-06-05"
8005,"2014-07-03"
8005,"2014-07-31"
8005,"2014-08-28"
8005,"2014-09-25"
8005,"2014-10-23"
8005,"2014-11-20"
8005,"2014-12-18"
8006,"2014-01-08"
8006,"2014-02-05"
8006,"2014-03-05"
8006,"2014-04-02"
8006,"2014-04-30"
8006,"2014-05-28"
8006,"2014-06-25"
8006,"2014-07-23"
8006,"2014-08-20"
8006,"2014-09-17"
8006,"2014-10-15"
8006,"2014-11-12"
8006,"2014-12-10"
8008,"2014-01-09"
8008,"2014-02-06"
8008,"2014-03-06"
8008,"2014-04-03"
8008,"2014-05-02"
8008,"2014-05-30"
8008,"2014-06-26"
8008,"2014-07-24"
8008,"2014-08-21"
8008,"2014-09-18"
8008,"2014-10-16"
8008,"2014-11-13"
8008,"2014-12-11"
8032,"2014-01-04"
8032,"2014-01-30"
8032,"2014-02-27"
8032,"2014-03-27"
8032,"2014-04-24"
8032,"2014-05-22"
8032,"2014-06-19"
8032,"2014-07-17"
8032,"2014-08-14"
8032,"2014-09-11"
8032,"2014-10-09"
8032,"2014-11-06"
8032,"2014-12-04"
8037,"2014-01-22"
8037,"2014-02-19"
8037,"2014-03-19"
8037,"2014-04-16"
8037,"2014-05-14"
8037,"2014-06-11"
8037,"2014-07-09"
8037,"2014-08-06"
8037,"2014-09-03"
8037,"2014-10-01"
8037,"2014-10-29"
8037,"2014-11-26"
8037,"2014-12-24"
8038,"2014-01-03"
8038,"2014-01-31"
8038,"2014-02-28"
8038,"2014-03-28"
8038,"2014-04-25"
8038,"2014-05-23"
8038,"2014-06-20"
8038,"2014-07-18"
8038,"2014-08-15"
8038,"2014-09-12"
8038,"2014-10-10"
8038,"2014-11-07"
8038,"2014-12-05"
8041,"2014-01-10"
8041,"2014-02-07"
8041,"2014-03-07"
8041,"2014-04-04"
8041,"2014-05-02"
8041,"2014-05-30"
8041,"2014-06-27"
8041,"2014-07-25"
8041,"2014-08-22"
8041,"2014-09-19"
8041,"2014-10-17"
8041,"2014-11-14"
8041,"2014-12-12"
8044,"2014-01-22"
8044,"2014-02-19"
8044,"2014-03-19"
8044,"2014-04-16"
8044,"2014-05-14"
8044,"2014-06-11"
8044,"2014-07-09"
8044,"2014-08-06"
8044,"2014-09-03"
8044,"2014-10-01"
8044,"2014-10-29"
8044,"2014-11-26"
8044,"2014-12-24"
8045,"2014-01-10"
8045,"2014-02-07"
8045,"2014-03-07"
8045,"2014-04-04"
8045,"2014-05-02"
8045,"2014-05-30"
8045,"2014-06-27"
8045,"2014-07-25"
8045,"2014-08-22"
8045,"2014-09-19"
8045,"2014-10-17"
8045,"2014-11-14"
8045,"2014-12-12"
8046,"2014-01-14"
8046,"2014-02-11"
8046,"2014-03-11"
8046,"2014-04-08"
8046,"2014-05-06"
8046,"2014-06-03"
8046,"2014-07-01"
8046,"2014-07-29"
8046,"2014-08-26"
8046,"2014-09-23"
8046,"2014-10-21"
8046,"2014-11-18"
8046,"2014-12-16"
8047,"2014-01-06"
8047,"2014-02-03"
8047,"2014-03-03"
8047,"2014-03-31"
8047,"2014-04-28"
8047,"2014-05-26"
8047,"2014-06-23"
8047,"2014-07-21"
8047,"2014-08-18"
8047,"2014-09-15"
8047,"2014-10-13"
8047,"2014-11-10"
8047,"2014-12-08"
8048,"2014-01-20"
8048,"2014-02-17"
8048,"2014-03-17"
8048,"2014-04-14"
8048,"2014-05-12"
8048,"2014-06-10"
8048,"2014-07-07"
8048,"2014-08-04"
8048,"2014-09-01"
8048,"2014-09-29"
8048,"2014-10-27"
8048,"2014-11-24"
8048,"2014-12-22"
8049,"2014-01-27"
8049,"2014-02-24"
8049,"2014-03-24"
8049,"2014-04-22"
8049,"2014-05-19"
8049,"2014-06-16"
8049,"2014-07-14"
8049,"2014-08-11"
8049,"2014-09-08"
8049,"2014-10-06"
8049,"2014-11-03"
8049,"2014-12-01"
8049,"2014-12-29"
8050,"2014-01-03"
8050,"2014-01-29"
8050,"2014-02-26"
8050,"2014-03-26"
8050,"2014-04-23"
8050,"2014-05-21"
8050,"2014-06-18"
8050,"2014-07-16"
8050,"2014-08-13"
8050,"2014-09-10"
8050,"2014-10-08"
8050,"2014-11-05"
8050,"2014-12-03"
8050,"2014-12-31"
8051,"2014-01-21"
8051,"2014-02-18"
8051,"2014-03-18"
8051,"2014-04-15"
8051,"2014-05-13"
8051,"2014-06-10"
8051,"2014-07-08"
8051,"2014-08-05"
8051,"2014-09-02"
8051,"2014-09-30"
8051,"2014-10-28"
8051,"2014-11-25"
8051,"2014-12-23"
8052,"2014-01-28"
8052,"2014-02-25"
8052,"2014-03-25"
8052,"2014-04-22"
8052,"2014-05-20"
8052,"2014-06-17"
8052,"2014-07-15"
8052,"2014-08-12"
8052,"2014-09-09"
8052,"2014-10-07"
8052,"2014-11-04"
8052,"2014-12-02"
8052,"2014-12-30"
8053,"2014-01-23"
8053,"2014-02-20"
8053,"2014-03-20"
8053,"2014-04-17"
8053,"2014-05-15"
8053,"2014-06-12"
8053,"2014-07-10"
8053,"2014-08-07"
8053,"2014-09-04"
8053,"2014-10-02"
8053,"2014-10-30"
8053,"2014-11-27"
8053,"2014-12-29"
8055,"2014-01-24"
8055,"2014-02-21"
8055,"2014-03-21"
8055,"2014-04-22"
8055,"2014-05-16"
8055,"2014-06-13"
8055,"2014-07-11"
8055,"2014-08-08"
8055,"2014-09-05"
8055,"2014-10-03"
8055,"2014-10-31"
8055,"2014-11-28"
8055,"2014-12-30"
8057,"2014-01-07"
8057,"2014-02-04"
8057,"2014-03-04"
8057,"2014-04-01"
8057,"2014-04-29"
8057,"2014-05-27"
8057,"2014-06-24"
8057,"2014-07-22"
8057,"2014-08-19"
8057,"2014-09-16"
8057,"2014-10-14"
8057,"2014-11-11"
8057,"2014-12-09"
8064,"2014-01-24"
8064,"2014-02-21"
8064,"2014-03-21"
8064,"2014-04-22"
8064,"2014-05-16"
8064,"2014-06-13"
8064,"2014-07-11"
8064,"2014-08-08"
8064,"2014-09-05"
8064,"2014-10-03"
8064,"2014-10-31"
8064,"2014-11-28"
8064,"2014-12-30"
8001,"2015-01-22"
8001,"2015-02-19"
8001,"2015-03-19"
8001,"2015-04-16"
8001,"2015-05-15"
8001,"2015-06-11"
8001,"2015-07-09"
8001,"2015-08-06"
8001,"2015-09-03"
8001,"2015-10-01"
8001,"2015-10-29"
8001,"2015-11-26"
8001,"2015-12-24"
8002,"2015-01-12"
8002,"2015-02-09"
8002,"2015-03-09"
8002,"2015-04-07"
8002,"2015-05-04"
8002,"2015-06-01"
8002,"2015-06-29"
8002,"2015-07-27"
8002,"2015-08-24"
8002,"2015-09-21"
8002,"2015-10-19"
8002,"2015-11-16"
8002,"2015-12-14"
8003,"2015-01-16"
8003,"2015-02-13"
8003,"2015-03-13"
8003,"2015-04-10"
8003,"2015-05-08"
8003,"2015-06-05"
8003,"2015-07-03"
8003,"2015-07-31"
8003,"2015-08-28"
8003,"2015-09-25"
8003,"2015-10-23"
8003,"2015-11-20"
8003,"2015-12-18"
8004,"2015-01-14"
8004,"2015-02-11"
8004,"2015-03-11"
8004,"2015-04-08"
8004,"2015-05-06"
8004,"2015-06-03"
8004,"2015-07-01"
8004,"2015-07-29"
8004,"2015-08-26"
8004,"2015-09-23"
8004,"2015-10-21"
8004,"2015-11-18"
8004,"2015-12-16"
8005,"2015-01-15"
8005,"2015-02-12"
8005,"2015-03-12"
8005,"2015-04-09"
8005,"2015-05-07"
8005,"2015-06-04"
8005,"2015-07-02"
8005,"2015-07-30"
8005,"2015-08-27"
8005,"2015-09-24"
8005,"2015-10-22"
8005,"2015-11-19"
8005,"2015-12-17"
8006,"2015-01-07"
8006,"2015-02-04"
8006,"2015-03-04"
8006,"2015-04-01"
8006,"2015-04-29"
8006,"2015-05-27"
8006,"2015-06-24"
8006,"2015-07-22"
8006,"2015-08-19"
8006,"2015-09-16"
8006,"2015-10-14"
8006,"2015-11-11"
8006,"2015-12-09"
8008,"2015-01-08"
8008,"2015-02-05"
8008,"2015-03-05"
8008,"2015-04-02"
8008,"2015-04-30"
8008,"2015-05-28"
8008,"2015-06-25"
8008,"2015-07-23"
8008,"2015-08-20"
8008,"2015-09-17"
8008,"2015-10-15"
8008,"2015-11-12"
8008,"2015-12-10"
8032,"2015-01-06"
8032,"2015-01-29"
8032,"2015-02-26"
8032,"2015-03-26"
8032,"2015-04-23"
8032,"2015-05-21"
8032,"2015-06-18"
8032,"2015-07-16"
8032,"2015-08-13"
8032,"2015-09-10"
8032,"2015-10-08"
8032,"2015-11-05"
8032,"2015-12-03"
8032,"2015-12-31"
8037,"2015-01-21"
8037,"2015-02-18"
8037,"2015-03-18"
8037,"2015-04-15"
8037,"2015-05-13"
8037,"2015-06-10"
8037,"2015-07-08"
8037,"2015-08-05"
8037,"2015-09-02"
8037,"2015-09-30"
8037,"2015-10-28"
8037,"2015-11-25"
8037,"2015-12-23"
8038,"2015-01-05"
8038,"2015-01-30"
8038,"2015-02-27"
8038,"2015-03-27"
8038,"2015-04-24"
8038,"2015-05-22"
8038,"2015-06-19"
8038,"2015-07-17"
8038,"2015-08-14"
8038,"2015-09-11"
8038,"2015-10-09"
8038,"2015-11-06"
8038,"2015-12-04"
8041,"2015-01-09"
8041,"2015-02-06"
8041,"2015-03-06"
8041,"2015-04-04"
8041,"2015-05-02"
8041,"2015-05-29"
8041,"2015-06-26"
8041,"2015-07-24"
8041,"2015-08-21"
8041,"2015-09-18"
8041,"2015-10-16"
8041,"2015-11-13"
8041,"2015-12-11"
8044,"2015-01-21"
8044,"2015-02-18"
8044,"2015-03-18"
8044,"2015-04-15"
8044,"2015-05-13"
8044,"2015-06-10"
8044,"2015-07-08"
8044,"2015-08-05"
8044,"2015-09-02"
8044,"2015-09-30"
8044,"2015-10-28"
8044,"2015-11-25"
8044,"2015-12-23"
8045,"2015-01-09"
8045,"2015-02-06"
8045,"2015-03-06"
8045,"2015-04-04"
8045,"2015-05-02"
8045,"2015-05-29"
8045,"2015-06-26"
8045,"2015-07-24"
8045,"2015-08-21"
8045,"2015-09-18"
8045,"2015-10-16"
8045,"2015-11-13"
8045,"2015-12-11"
8046,"2015-01-13"
8046,"2015-02-10"
8046,"2015-03-10"
8046,"2015-04-07"
