"PLZ","Station","Abholdatum"
8001,"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht","2014-08-18"
8002,"Gotthardstrasse / Tessinerplatz","2014-09-02"
8003,"Alte evangelische Kirche / Triemlistrasse 2","2014-10-01"
8003,"Gotthardstrasse / Tessinerplatz","2014-09-02"
8003,"Helvetiaplatz","2014-09-29"
8003,"Uetlibergstrasse 134","2014-09-03"
8003,"Wasserschöpfi / Küngenmatt (Bad Heuried)","2014-09-04"
8004,"Helvetiaplatz","2014-09-29"
8005,"Röntgenplatz","2014-09-06"
8006,"Rigiplatz","2014-10-03"
8008,"Seefeldstrasse 152 / Wertstoff-Sammelstelle","2014-09-16"
8032,"Merkurplatz: Minervastrasse / Merkurstrasse","2014-08-21"
8037,"Röschibachplatz / Röschibachstrasse 79","2014-09-17"
8038,"Etzelstrasse / Mutschellenstrasse, Wertstoff-Sammelstelle","2014-09-18"
8041,"Leimbachstrasse 160 / Klebestrasse, Wertstoff-Sammelstelle","2014-09-01"
8044,"Tramhaltestelle Kirche Fluntern / Zürichbergstrasse 75","2014-08-20"
8045,"Uetlibergstrasse 134","2014-09-03"
8046,"Wehntalerstrasse 539 beim Zehntenhausplatz","2014-10-04"
8047,"Alte evangelische Kirche / Triemlistrasse 2","2014-10-01"
8048,"Lindenplatz","2014-08-19"
8049,"Limmattalstrasse 227-229","2014-09-05"
8049,"Limmattalstrasse 227-229","2014-09-20"
8050,"Marktplatz Oerlikon","2014-09-19"
8051,"Schwamendingerplatz","2014-09-15"
8052,"Tramhaltestelle Seebach / Schaffhauserstrasse 501","2014-08-23"
8053,"Witikonerstrasse 390, Parkplatz","2014-08-22"
8055,"Wasserschöpfi / Küngenmatt (Bad Heuried)","2014-09-04"
8057,"Milchbuckstrasse 2 / Tramhaltestelle Guggachstrasse","2014-10-02"
8064,"Tramhaltestelle Werdhölzli, im Recyclinghof","2014-08-28"
8001,"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht","2015-08-17"
8002,"Gotthardstrasse / Tessinerplatz","2015-09-01"
8003,"Alte evangelische Kirche / Triemlistrasse 2","2015-09-30"
8003,"Gotthardstrasse / Tessinerplatz","2015-09-01"
8003,"Helvetiaplatz","2015-09-28"
8003,"Uetlibergstrasse 134","2015-09-02"
8003,"Wasserschöpfi / Küngenmatt (Bad Heuried)","2015-09-03"
8004,"Helvetiaplatz","2015-09-28"
8005,"Röntgenplatz","2015-09-05"
8006,"Rigiplatz","2015-10-02"
8008,"Seefeldstrasse 152 / Wertstoff-Sammelstelle","2015-09-15"
8032,"Merkurplatz: Minervastrasse / Merkurstrasse","2015-08-20"
8037,"Röschibachplatz / Röschibachstrasse 79","2015-09-16"
8038,"Etzelstrasse / Mutschellenstrasse, Wertstoff-Sammelstelle","2015-09-17"
8041,"Leimbachstrasse 160 / Klebestrasse, Wertstoff-Sammelstelle","2015-08-31"
8044,"Tramhaltestelle Kirche Fluntern / Zürichbergstrasse 75","2015-08-19"
8045,"Uetlibergstrasse 134","2015-09-02"
8046,"Wehntalerstrasse 539 beim Zehntenhausplatz","2015-10-03"
8047,"Alte evangelische Kirche / Triemlistrasse 2","2015-09-30"
8048,"Lindenplatz","2015-08-18"
8048,"Lindenplatz","2015-09-29"
8049,"Limmattalstrasse 227-229","2015-09-04"
8049,"Limmattalstrasse 227-229","2015-09-19"
8050,"Marktplatz Oerlikon","2015-09-18"
8051,"Schwamendingerplatz","2015-09-14"
8052,"Tramhaltestelle Seebach / Schaffhauserstrasse 501","2015-08-22"
8053,"Witikonerstrasse 390, Parkplatz","2015-08-21"
8055,"Wasserschöpfi / Küngenmatt (Bad Heuried)","2015-09-03"
8057,"Milchbuckstrasse 2 / Tramhaltestelle Guggachstrasse","2015-10-01"
8064,"Tramhaltestelle Werdhölzli, im Recyclinghof","2015-08-27"
8001,"Parkplatz am Hirschengraben 13, vor dem kantonalen Obergericht","2016-08-22"
8002,"Tessinerplatz","2016-09-06"
