"PLZ","Abholdatum"
8001,"2017-03-06"
8001,"2017-06-12"
8001,"2017-09-08"
8001,"2017-12-04"
8002,"2017-03-09"
8002,"2017-06-15"
8002,"2017-09-14"
8002,"2017-12-07"
8003,"2017-03-09"
8003,"2017-06-15"
8003,"2017-09-14"
8003,"2017-12-07"
8004,"2017-03-10"
8004,"2017-06-16"
8004,"2017-09-15"
8004,"2017-12-08"
8005,"2017-03-16"
8005,"2017-06-22"
8005,"2017-09-21"
8005,"2017-12-14"
8006,"2017-03-16"
8006,"2017-06-22"
8006,"2017-09-21"
8006,"2017-12-14"
8008,"2017-03-06"
8008,"2017-06-12"
8008,"2017-09-08"
8008,"2017-12-04"
8032,"2017-03-17"
8032,"2017-06-23"
8032,"2017-09-22"
8032,"2017-12-15"
8037,"2017-03-15"
8037,"2017-06-21"
8037,"2017-09-20"
8037,"2017-12-13"
8038,"2017-03-07"
8038,"2017-06-13"
8038,"2017-09-12"
8038,"2017-12-05"
8041,"2017-03-07"
8041,"2017-06-13"
8041,"2017-09-12"
8041,"2017-12-05"
8044,"2017-03-17"
8044,"2017-06-23"
8044,"2017-09-22"
8044,"2017-12-15"
8045,"2017-03-07"
8045,"2017-06-13"
8045,"2017-09-12"
8045,"2017-12-05"
8046,"2017-03-13"
8046,"2017-06-19"
8046,"2017-09-18"
8046,"2017-12-11"
8047,"2017-03-08"
8047,"2017-06-14"
8047,"2017-09-13"
8047,"2017-12-06"
8048,"2017-03-10"
8048,"2017-06-16"
8048,"2017-09-15"
8048,"2017-12-08"
8049,"2017-03-13"
8049,"2017-06-19"
8049,"2017-09-18"
8049,"2017-12-11"
8050,"2017-03-14"
8050,"2017-06-20"
8050,"2017-09-19"
8050,"2017-12-12"
8051,"2017-03-14"
8051,"2017-06-20"
8051,"2017-09-19"
8051,"2017-12-12"
8052,"2017-03-13"
8052,"2017-06-19"
8052,"2017-09-18"
8052,"2017-12-11"
8053,"2017-03-17"
8053,"2017-06-23"
8053,"2017-09-22"
8053,"2017-12-15"
8055,"2017-03-08"
8055,"2017-06-14"
8055,"2017-09-13"
8055,"2017-12-06"
8057,"2017-03-15"
8057,"2017-06-21"
8057,"2017-09-20"
8057,"2017-12-13"
8064,"2017-03-13"
8064,"2017-06-19"
8064,"2017-09-18"
8064,"2017-12-11"
8001,"2018-03-05"
8001,"2018-06-11"
8001,"2018-09-17"
8001,"2018-12-03"
8002,"2018-03-08"
8002,"2018-06-14"
8002,"2018-09-20"
8002,"2018-12-06"
8003,"2018-03-08"
8003,"2018-06-14"
8003,"2018-09-20"
8003,"2018-12-06"
8004,"2018-03-09"
8004,"2018-06-15"
8004,"2018-09-21"
8004,"2018-12-07"
8005,"2018-03-15"
8005,"2018-06-21"
8005,"2018-09-27"
8005,"2018-12-13"
8006,"2018-03-15"
8006,"2018-06-21"
8006,"2018-09-27"
8006,"2018-12-13"
8008,"2018-03-05"
8008,"2018-06-11"
8008,"2018-09-17"
8008,"2018-12-03"
8032,"2018-03-16"
8032,"2018-06-22"
8032,"2018-09-28"
8032,"2018-12-14"
8037,"2018-03-14"
8037,"2018-06-20"
8037,"2018-09-26"
8037,"2018-12-12"
8038,"2018-03-06"
8038,"2018-06-12"
8038,"2018-09-18"
8038,"2018-12-04"
8041,"2018-03-06"
8041,"2018-06-12"
8041,"2018-09-18"
8041,"2018-12-04"
8044,"2018-03-16"
8044,"2018-06-22"
8044,"2018-09-28"
8044,"2018-12-14"
8045,"2018-03-06"
8045,"2018-06-12"
8045,"2018-09-18"
8045,"2018-12-04"
8046,"2018-03-12"
8046,"2018-06-18"
8046,"2018-09-24"
8046,"2018-12-10"
8047,"2018-03-07"
8047,"2018-06-13"
8047,"2018-09-19"
8047,"2018-12-05"
8048,"2018-03-09"
8048,"2018-06-15"
8048,"2018-09-21"
8048,"2018-12-07"
8049,"2018-03-12"
8049,"2018-06-18"
8049,"2018-09-24"
8049,"2018-12-10"
8050,"2018-03-13"
8050,"2018-06-19"
8050,"2018-09-25"
8050,"2018-12-11"
8051,"2018-03-13"
8051,"2018-06-19"
8051,"2018-09-25"
8051,"2018-12-11"
8052,"2018-03-12"
8052,"2018-06-18"
8052,"2018-09-24"
8052,"2018-12-10"
8053,"2018-03-16"
8053,"2018-06-22"
8053,"2018-09-28"
8053,"2018-12-14"
8055,"2018-03-07"
8055,"2018-06-13"
8055,"2018-09-19"
8055,"2018-12-05"
8057,"2018-03-14"
8057,"2018-06-20"
8057,"2018-09-26"
8057,"2018-12-12"
8064,"2018-03-12"
8064,"2018-06-18"
8064,"2018-09-24"
8064,"2018-12-10"
8001,"2019-03-04"
8001,"2019-06-17"
8001,"2019-09-16"
8001,"2019-12-02"
8002,"2019-03-07"
8002,"2019-06-20"
8002,"2019-09-19"
8002,"2019-12-05"
8003,"2019-03-07"
8003,"2019-06-20"
8003,"2019-09-19"
8003,"2019-12-05"
8004,"2019-03-08"
8004,"2019-06-21"
8004,"2019-09-20"
8004,"2019-12-06"
8005,"2019-03-14"
8005,"2019-06-27"
8005,"2019-09-26"
8005,"2019-12-12"
8006,"2019-03-14"
8006,"2019-06-27"
8006,"2019-09-26"
8006,"2019-12-12"
8008,"2019-03-04"
8008,"2019-06-17"
8008,"2019-09-16"
8008,"2019-12-02"
8032,"2019-03-15"
8032,"2019-06-28"
8032,"2019-09-27"
8032,"2019-12-13"
8037,"2019-03-13"
8037,"2019-06-26"
8037,"2019-09-25"
8037,"2019-12-11"
8038,"2019-03-05"
8038,"2019-06-18"
8038,"2019-09-17"
8038,"2019-12-03"
8041,"2019-03-05"
8041,"2019-06-18"
8041,"2019-09-17"
8041,"2019-12-03"
8044,"2019-03-15"
8044,"2019-06-28"
8044,"2019-09-27"
8044,"2019-12-13"
8045,"2019-03-05"
8045,"2019-06-18"
8045,"2019-09-17"
8045,"2019-12-03"
8046,"2019-03-11"
8046,"2019-06-24"
8046,"2019-09-23"
8046,"2019-12-09"
8047,"2019-03-06"
